truth_int,fiction_type ,film_condensed,reality_condensed,duration
-,-,-,-,48
2,character development,Ron has a threesome at a rodeo. ,"Ron had a lot of sex, no bullriding. ",63
3,,He & the guys talk about Rock Hudson being gay.,Rock Hudson was gay.,51
1,dramatic license,"TJ prepares to ride a bull, Ron encourages him. ",TJ was fictional. ,73
1,dramatic license,The bull ditches TJ straight away.,TJ was fictional. ,18
0,character development,"Gamblers chase Ron, who punches officer Tucker to get arrested.",Tucker was fictional.,43
0,character development,Tucker drops Ron at the trailer park. ,Tucker was fictional.,47
0,character development,"Ron stumbles, Tucker is worried. ",Tucker was fictional.,16
-1,,"Ron's ears ring, he passes out. ",His residences aren't public knowledge. ,21
3,,"He wakes up, weak & coughing. ",Was was emaciated.,23
-1,,He sells cocaine at work on the oil rig.,Not public knowledge.,48
3,,The boss calls him over to deal with an injury. ,Ron was an electrician.,3
-1,,"Ron flicks a switch, gets electrocuted. ",Not public knowledge.,42
-1,,He wakes up in hospital.,Not public knowledge.,26
3,,Dr. Saks (Eve) & Dr. Sevard tell Ron he's HIV+.,Ron was diagnosed 1986.,58
1,character development,"He's angry, in denial. ",Ron's sexuality/homophobia is contested. ,133
-1,,He hangs back from partying with TJ. ,Not public knowledge.,98
-1,,He tells TJ about the diagnosis. ,Not public knowledge.,84
-1,,"TJ leaves with 2 women, Ron stays. ",Not public knowledge.,34
-1,,He looks scared. ,Not public knowledge.,12
3,,He researches HIV/AIDS at the library. ,Ron was a dedicated researcher. ,10
3,,A drugs rep pitches AZT to hospital staff. ,AZT was rushed to approval. ,88
2,character development,Eve is concerned about AZT's safety. ,Eve was fictional. ,21
3,,Ron learns HIV is sexually & intravenously transmitted. ,Ron was a dedicated researcher. ,33
3,,Flashback to Ron having unprotected sex with an addict. ,Ron contracted HIV from a user. ,18
-1,,"He hits the desk, screams. ",Not public knowledge.,11
3,,At the hospital he demands to see Sevard. ,Ron was severely ill. ,28
1,character development,"Eve turns up, offers her help. ",Ron would deal with one doctor. ,35
-1,,Ron clocks a janitor looking at him.,Not public knowledge.,8
2,dramatic license,Ron begs Eve for AZT. She says no. ,"Ron was denied AZT, sued for it. ",147
2,,"At the bar, Ron's friends reject him.",Ron's friends turned on him.,85
2,,The guys are disgusted that he touched them. ,People were ignorant about transmission.,7
2,character development,"Ron enters a support meeting, walks straight out.",Ron's sexuality/homophobia is contested. ,64
3,,He prays for more time. ,Ron wanted more time.,46
1,dramatic license,He approaches the janitor at a strip club.,Ron got AZT legally. ,47
