start,truth int,fiction type ,film condensed,reality condensed,duration
00:00:54,3,,Slaves are briefed on sugar cane harvesting. ,Northup harvested cane during the season. ,41
00:01:35,2,character development,The plantation owner supervises the slaves.,Slaves were closely supervised. ,42
00:02:17,3,,The slaves sleep on the floor.,Northup was never allowed more than a blanket for sleeping.,13
00:02:30,2,dramatic license,Northup tries to make pen & ink. ,Northup tried numerous means of creating pen & ink. ,32
00:03:02,2,dramatic license,"Northup tries to write a letter, fails. ",Northup tried to write letters with various materials. ,41
00:03:43,0,dramatic license,Northup pleasures a slave woman.,Made up by the filmmakers. ,115
00:05:38,3,,Flashback - Northup gazes into his wife's eyes.,Northup & his wife were deeply in love.,18
00:05:56,3,,Northup plays his violin.,Northup was an accomplished violinist.,41
00:06:37,3,,Northup performs at a posh white party.,Northup played at events throughout the season.,28
00:07:05,2,narrative convenience,Northup tucks his 2 kids in.,Northup had 3 kids. ,40
00:07:45,3,,Anne is going away for a few weeks for work. ,Anne worked away as a chef occasionally.,29
00:08:14,3,,Northup waves goodbye to his family.,The kids went away with Anne. ,24
00:08:38,2,narrative convenience,Moon introduces Northup to Brown  & Hamilton.,"Northup met Brown  & Hamilton, but not through Moon.",40
00:09:18,3,,They persuade him to join them as a travelling musician. ,"Northup accepted the offer, it was good money. ",53
00:10:11,3,,They arrive in Washington.,They went to Washington. ,13
00:10:24,2,narrative convenience,"They toast their success, refilling Northup's glass. ",They were successful  & happy about it. ,41
00:11:05,3,,Northup wakes up chained in a dungeon.,"Northup was drugged, awoke in a dungeon. ",34
00:11:39,3,,Northup protests his capture to Burch.,Northup refused to accept he was no longer free. ,284
00:16:23,2,dramatic license,Radburn gives Northup a clean shirt.,Slaves for sale were kept presentable. ,69
00:17:32,3,,Northup  & others made to wash naked outside. ,The slaves had to sponge off under supervision. ,35
00:18:07,3,,"Northup talks to others, tries to find a solution.",Northup discussed escape options with two others.,55
00:19:02,3,,Eliza  & her daughter are thrown in to the pen. ,Eliza  & her daughter were added to the sale group. ,15
00:19:17,3,,The captives are lined up.,Northup  & the others were lined up for travel. ,31
00:19:48,3,,"They arrive at a dock, moved onto a boat.",They were sent to the docks on a wagon.,45
00:20:33,3,,Ray warns Northup to keep his identity quiet.,Ray advised Northup not to tell people who he was. ,75
00:21:48,-1,dramatic license,A captor removes a muzzle from Roberts.,We couldn't find a source for this.,25
00:22:13,2,narrative convenience,"Northup, Ray  & Robert plan their escape. ","Northup, Robert  & Arthur discussed escaping. ",57
00:23:10,0,dramatic license,"Robert protects Eliza from rape, is stabbed to death.",Robert died of smallpox. ,75
00:24:25,2,dramatic license,Northup  & Ray push Robert's body overboard. ,A sailor pushed the body overboard. ,34
00:24:59,1,narrative convenience,"Ray's master awaits at the docks, claims him. ",Arthur was rescued by his friends at the dock. ,40
00:25:39,3,,Northup sits looking at the slaves around him.,There were at least 50 waiting to be sold. ,23
00:26:02,2,narrative convenience,Flashback - Northup shopping with his rich happy family. ,The Northups shopped at Parkers. ,80
00:27:22,-1,dramatic license,"A slave enters the shop, his master apologises. ",We couldn't find a source for this.,24
00:27:46,2,character development,Northup gets a slap when he doesn't respond to his slave name.,Nobody knew who Platt was supposed to be = confusion.,49
00:28:35,3,,Freeman slaps slave flesh like livestock.,Freeman checked their 'soundness' like animals.,29
00:29:04,3,,Freeman exhibits his 'stock' to buyers.,Freeman arranged his 'stock' carefully for viewing.,39
00:29:43,2,narrative convenience,Ford wants to buy Eliza  & Northup.,Ford did want to buy Eliza  & Northup. ,34
00:30:17,3,,"Freeman sells Eliza's son, Eliza begs they not be separated.",Randall was sold despite Eliza's begging. ,31
00:30:48,3,,"Ford offers to buy Eliza's daughter, Freeman refuses.","Freeman kept Eliza's light-skinned daughter, a valuable girl.  ",78
00:32:06,3,,"They arrive at Ford's, told to rest  & eat.",Ford's slaves were rested  & fed on arrival. ,48
00:32:54,2,character development,Tibeats  & Chapin brief the slaves.,Tibeats was chief carpenter  & Chapin overseer.,68
00:34:02,3,,"The slaves chop tries, saw wood etc.",Timber felling was the main job at Ford's.,63
00:35:05,3,,Ford reads the slaves bible passages.,Ford read the bible to his slaves every sabbath. ,18
00:35:23,3,,The slaves meet a group of Native Americans in the woods.,"Northup often joined the Native Americans, watched them dance. ",52
00:36:15,2,narrative convenience,"Tibeats  & Northup debate a plan, Ford choses Northup's plan.",Ford did choose Northup's idea. ,75
00:37:30,2,narrative convenience,"Northup's plan works, he's highly praised.",Ford praised Northup  & the other slaves cheered him.,65
00:38:35,0,character development,Ford gives Northup a violin.,Ford didn't give Northup a violin.,62
00:39:37,2,dramatic license,Eliza weeps for her children.,Eliza wept constantly for her children.,135
00:41:52,3,,Eliza weeps as Ford reads from the bible. ,Eliza wept constantly. ,27
00:42:19,3,,Tibeats antagonises Northup.,Tibeats was constantly on Northup's back.,80
00:43:39,2,narrative convenience,"Two men drag Eliza away, she's sobbing.","Eliza was often sobbing,  & was moved from job to job as a result.",26
00:44:05,3,,"Flashback - Eliza talks of her early life as a pampered slave, it how it ended.",Eliza's previous master was in love with her. His daughter sent her away.,70
00:45:15,3,,"Tibeats goes to whip Northup for nothing, Northup attacks him.",Northup retaliated  & totally lost it. ,66
