start,truth int,fiction type ,film condensed,reality condensed,duration
00:00:30,3,,Marines roll into Fallujah.,A convoy of marines pulled into Fallujah. ,42
00:01:12,1,,"Kyle eyes an insurgent, loses him.",This specific guy wasn't in the bio.,85
00:02:37,1,,Kyle shoots a child with a grenade.,"The mother had the grenade, Kyle shot her. ",57
00:03:34,3,,Young Kyle hunts deer with his dad.,Kyle's dad took him hunting a lot.,44
00:04:18,1,,Young Kyle steals a bible at church.,"He went to church, didn't steal a bible.",34
00:04:52,3,,Young Kyle protects little brother from a bully.,"Kyle loved a fight, especially to protect Jeff.",80
00:06:12,3,,"Kyle falls from a rodeo horse, injures his hand.",Kyle gave up broncos after a serious accident in the pen.,62
00:07:14,0,,Jeff ribs Kyle about his girlfriend.,The girlfriend scene was made up.,20
00:07:34,0,,Kyle finds Sarah in bed with another guy.,The girlfriend scene was made up.,54
00:08:28,0,,Kyle kicks Sarah out.,The girlfriend scene was made up.,48
00:09:16,0,,"Kyle sees the WTC bombing on TV, decides to join up.",Kyle had always intended to join up.,59
00:10:15,3,,Kyle gets a SEALs brochure at the recruiting office.,Kyle got hooked on the SEAL idea.,32
00:10:47,2,,Hell week montage at SEAL training camp.,Hell week was intense. ,176
00:13:43,3,,Kyle meets Taya in a bar & they hit it off.,"Kyle met Taya in a bar, they clicked.",213
00:17:16,3,,Taya pukes in the carpark.,Taya puked at the end of the night.,25
00:17:41,2,,Sniper training. Kyle is a good shot.,Kyle did pretty well at sniper training. ,36
00:18:17,3,,Kyle leaves Taya a voicemail.,Kyle left Taya many voicemails. ,40
00:18:57,2,,Kyle's focus at training is off.,Kyle had some difficulty keeping focused at training.,25
00:19:22,-1,,Kyle & Taya go to a fayre.,We couldn't find a source for this. ,73
00:20:35,2,,Kyle's focus at training is off.,Kyle had some difficulty keeping focused at training.,17
00:20:52,-1,,Taya & Kyle have sex for the first time.,We couldn't find a source for this. ,41
00:21:33,2,,Tosh is getting annoyed at Kyle's lack of focus.,The sniper trainers were tough on the recruits.,30
00:22:03,3,,Taya & Kyle watch the WTC attack on TV.,Taya & Kyle saw the WTC attack news on TV. ,40
00:22:43,3,,Kyle's focus at training is spot-on.,Kyle learned to hone his focus. ,6
00:22:49,2,,Kyle & Taya get engaged in bed.,Kyle & Taya decided to get married.,49
00:23:38,1,,Kyle finds out the US is going to war at his own wedding.,Kyle knew he was getting deployed before they got married.,85
00:25:03,2,,SEALs & marines pull up in Fallujah.,SEALs & marines arrived in convoy in Fallujah. ,47
00:25:50,2,,Everybody heads to their positions.,They got to work straight away. ,40
00:26:30,1,,Kyle shoots a child with a grenade.,"The mother had the grenade, Kyle shot her. ",118
00:28:28,0,,"Kyle is disturbed by his kill, Biggles reassures him.",Kyle was never uneasy about a kill.,68
00:29:36,2,,Kyle drops an insurgent right over the marines.,Kyle shot an insurgent right behind the marines.,31
00:30:07,3,,"A car runs at the marines, Kyle kills the driver.",Kyle shot the driver of an enemy truck,45
00:30:52,3,,Kyle shoots insurgents from his post.,Kyle shot insurgents most days.,76
00:32:08,1,,Mustafa shoots a marine.,Kyle didn't come across Mustafa at all.,53
