start,truth int,fiction type ,film condensed,reality condensed,duration
00:00:37,3,,Phillips packs at home. ,Phillips was well-prepared.,46
00:01:23,3,,His nurse wife Andrea appears.,"Phillips was married to Andrea, a nurse.",18
00:01:41,3,,They head to the airport.,Andrea always drove Phillips to the airport. ,104
00:03:25,3,,They hug goodbye. ,Andrea dropped Phillips off at the airport.,41
00:04:06,-1,narrative cohesion,"Somalian beach, men sit around with rifles. ",We don't have the pirates' side of things.,10
00:04:16,-1,"narrative cohesion, dramatic license",A vehicle convoy rolls in. ,We don't have the pirates' side of things.,12
00:04:28,-1,"narrative cohesion, dramatic license",Muse is woken urgently. ,We don't have the pirates' side of things.,19
00:04:47,-1,"narrative cohesion, dramatic license","The vehicles pull into camp, cause havoc. ",We don't have the pirates' side of things.,39
00:05:26,-1,"narrative cohesion, dramatic license, character development",Muse tells another guy to stay out of his way. ,We don't have the pirates' side of things.,16
00:05:42,-1,"narrative cohesion, character development",Bilal asks Muse to take him.,We don't have the pirates' side of things.,29
00:06:11,-1,"narrative cohesion, character development",Men jostle for recruitment on the job. ,We don't have the pirates' side of things.,29
00:06:40,-1,"narrative cohesion, dramatic license",Crews are chosen. Muse selects Najee. ,We don't have the pirates' side of things.,59
00:07:39,-1,narrative cohesion,Two motorboats are prepped. ,We don't have the pirates' side of things.,43
00:08:22,-1,"narrative cohesion, dramatic license","The men meet a rusty ship, board it. ",We don't have the pirates' side of things.,51
00:09:13,3,,Phillips pulls into a port in a taxi. ,Phillips was taken to the port by car.,33
00:09:46,3,,Phillips examines the Alabama's condition. ,Phillips found safety measures in poor condition.,53
00:10:39,3,,The crew members greet Phillips. ,"Phillips knew two crew members, the rest were new to him.",67
00:11:46,3,,Shane gives Phillips a rundown of their cargo. ,The ship was carrying commercial cargo & food aid. ,9
00:11:55,3,,Shane talks Phillips through the route.,The route ran from Salalah to Mombasa. ,35
00:12:30,3,,Phillips orders extra security. ,Phillips was hot on security. ,19
00:12:49,3,,The ship sets sail. ,The Maersk Alabama set sail from Salalah in April 2009.,94
00:14:23,3,,"PHILLIPS locks cages, orders checks etc. ",Phillips went over the entire ship.,41
00:15:04,1,character development,Phillips is stern with his crew.,Not in the book. ,27
00:15:31,-1,narrative cohesion,The pirates identify the Alabama. ,We don't have the pirates' side of things.,39
00:16:10,3,,Phillips gets a warning about pirate activity. ,Phillips had several warnings about pirates.,44
00:16:54,3,,He initates an emergency drill. ,They did a pirate attack drill.,54
00:17:48,3,,"The crew follow protocol, preparing the hoses etc. ",The crew prepared the pirate hoses.,50
00:18:38,3,,Phillips notices something on the radar.,Phillips noticed three blips on the screen.,28
00:19:06,3,,He spots two boats coming up. ,Two pirate 'skiffs' approached.,14
00:19:20,0,character development,Phillips orders the crew to prep for danger. ,Phillips wasn't really a team player.,63
00:20:23,3,,Phillips gets clearance to up the speed.,Phillips upped the speed.,20
00:20:43,3,,"Maritime Emergency don't pick up, he calls UKMTO. ",Maritime Emergency didn't pick up. UKMTO did.,71
00:21:54,-1,"narrative cohesion, character development","Two pirate boats approach, pirates arguing. ",We don't have the pirates' side of things.,34
00:22:28,2,dramatic license,Phillips gets clearance to up the speed again.,Phillips upped the speed again.,28
00:22:56,3,,The pirates struggle against the waves. ,The small boats were struggling against the waves.,14
00:23:10,3,,Phillips puts out a fake distress call. ,Phillips faked a distress call. ,75
00:24:25,3,,One of the pirate boats flees. ,One of the small boats did turn around at that point. ,32
00:24:57,1,dramatic license,Phillips speeds up again. ,Phillips upped the speed again.,20
00:25:17,3,,MUSE gaining ever more ground. ,The pirates were just 4 miles away.,19
00:25:36,3,,Phillips orders sideways movement. ,Phillips used the ship to create waves.,8
00:25:44,-1,narrative cohesion,"Muse pushes the engine too hard, it blows.",The little boats struggled in the water.,85
00:27:09,2,,Phillips talks to his crew.,Phillips debriefed the crew.,58
00:28:07,2,dramatic license,The crew aren't happy about the danger. ,The crew had their concerns. ,91
00:29:38,1,character development,"Phillips emails his wife, says little. ",Phillips told Andrea everything.,34
00:30:12,-1,"narrative cohesion, dramatic license","The pirates fight, Muse hits a guy with a wrench. ",We don't have the pirates' side of things.,112
00:32:04,2,narrative cohesion,Shane calls Phillips to the bridge.,Here the film blends two incidents into one. ,42
00:32:46,2,narrative cohesion,Phillips calls UKMTO. The pirates are back. ,Phillips reported to UKMTO.,98
00:34:24,2,narrative cohesion,"Muse orders Phillips to stop, opens fire.",A blend of two incidents.,54
