,truth_int,fiction type ,film_condensed,reality_condensed,duration,start,end
0,3,,Slaves are briefed on sugar cane harvesting. ,Northup harvested cane during the season. ,41,0:00:54,0:01:35
1,2,character development,The plantation owner supervises the slaves.,Slaves were closely supervised. ,42,0:01:35,0:02:17
2,3,,The slaves sleep on the floor.,Northup was never allowed more than a blanket for sleeping.,13,0:02:17,0:02:30
3,2,dramatic license,Northup tries to make pen & ink. ,Northup tried numerous means of creating pen & ink. ,32,0:02:30,0:03:02
4,2,dramatic license,"Northup tries to write a letter, fails. ",Northup tried to write letters with various materials. ,41,0:03:02,0:03:43
5,0,dramatic license,Northup pleasures a slave woman.,Made up by the filmmakers. ,115,0:03:43,0:05:38
6,3,,Flashback - Northup gazes into his wife's eyes.,Northup & his wife were deeply in love.,18,0:05:38,0:05:56
7,3,,Northup plays his violin.,Northup was an accomplished violinist.,41,0:05:56,0:06:37
8,3,,Northup performs at a posh white party.,Northup played at events throughout the season.,28,0:06:37,0:07:05
9,2,narrative convenience,Northup tucks his 2 kids in.,Northup had 3 kids. ,40,0:07:05,0:07:45
10,3,,Anne is going away for a few weeks for work. ,Anne worked away as a chef occasionally.,29,0:07:45,0:08:14
11,3,,Northup waves goodbye to his family.,The kids went away with Anne. ,24,0:08:14,0:08:38
12,2,narrative convenience,Moon introduces Northup to Brown  & Hamilton.,"Northup met Brown  & Hamilton, but not through Moon.",40,0:08:38,0:09:18
13,3,,They persuade him to join them as a travelling musician. ,"Northup accepted the offer, it was good money. ",53,0:09:18,0:10:11
14,3,,They arrive in Washington.,They went to Washington. ,13,0:10:11,0:10:24
15,2,narrative convenience,"They toast their success, refilling Northup's glass. ",They were successful  & happy about it. ,41,0:10:24,0:11:05
16,3,,Northup wakes up chained in a dungeon.,"Northup was drugged, awoke in a dungeon. ",34,0:11:05,0:11:39
17,3,,Northup protests his capture to Burch.,Northup refused to accept he was no longer free. ,284,0:11:39,0:16:23
18,2,dramatic license,Radburn gives Northup a clean shirt.,Slaves for sale were kept presentable. ,69,0:16:23,0:17:32
