,truth_int,duration,start,end
0,2,128,0:00:54,0:03:02
1,0,215,0:03:02,0:06:37
2,3,121,0:06:37,0:08:38
3,2,147,0:08:38,0:11:05
4,3,422,0:11:05,0:18:07
5,3,146,0:18:07,0:20:33
6,0,232,0:20:33,0:24:25
7,2,177,0:24:25,0:27:22
8,3,141,0:27:22,0:29:43
9,3,191,0:29:43,0:32:54
10,3,201,0:32:54,0:36:15
11,2,337,0:36:15,0:41:52
12,3,203,0:41:52,0:45:15
13,3,246,0:45:15,0:49:21
14,2,311,0:49:21,0:54:32
15,3,232,0:54:32,0:58:24
16,3,201,0:58:24,1:01:45
17,-1,257,1:01:45,1:06:02
18,0,563,1:06:02,1:15:25
19,0,339,1:15:25,1:21:04
20,2,220,1:21:04,1:24:44
21,-1,242,1:24:44,1:28:46
22,2,322,1:28:46,1:34:08
23,3,330,1:34:08,1:39:38
24,2,810,1:39:38,1:53:08
25,3,432,1:53:08,2:00:20
26,2,488,2:00:20,2:08:28
