,truth_int,duration,start,end
0,1,262,0:00:30,0:04:52
1,3,264,0:04:52,0:09:16
2,3,505,0:09:16,0:17:41
3,2,191,0:17:41,0:20:52
4,2,166,0:20:52,0:23:38
5,1,358,0:23:38,0:29:36
6,3,248,0:29:36,0:33:44
7,-1,321,0:33:44,0:39:05
8,0,383,0:39:05,0:45:28
9,1,150,0:45:28,0:47:58
10,1,305,0:47:58,0:53:03
11,1,253,0:53:03,0:57:16
12,1,339,0:57:16,1:02:55
13,0,352,1:02:55,1:08:47
14,2,371,1:08:47,1:14:58
15,2,429,1:14:58,1:22:07
16,2,393,1:22:07,1:28:40
17,1,377,1:28:40,1:34:57
18,0,550,1:34:57,1:44:07
19,2,638,1:44:07,1:54:45
20,3,327,1:54:45,2:00:12
21,3,239,2:00:12,2:04:11
22,3,183,2:04:11,2:07:14
