,truth_int,fiction type ,film_condensed,reality_condensed,duration,start,end
0,-1,,"Mercury sits up in bed, tired. He coughs",Unknown,29,0:00:43,0:01:12
1,3,,Prince Charles and Princess Diana take their seats at the Live Aid concert,They were seated in the front row,19,0:01:12,0:01:31
2,3,,We see several pet cats in Mercury's home,Mercury adored cats and had many as pets over the years,21,0:01:31,0:01:52
3,3,,It's all go backstage at Live Aid,Live Aid was unprecedented in scale,57,0:01:52,0:02:49
4,3,,Mercury sees the vast Live Aid crowd cheering from their seats,"72,000 people turned up to watch Live Aid at Wembley",57,0:02:49,0:03:46
5,3,,Mercury handles baggage at Heathrow,He did work as a baggage handler before he got famous,13,0:03:46,0:03:59
6,-1,,Mercury gets racist abuse from his co-worker,Unknown,13,0:03:59,0:04:12
7,3,,Mercury drafts songs on scraps of paper,He'd done this since childhood,13,0:04:12,0:04:25
8,3,,We meet Mercury's mother. She has a strong foreign accent,Mercury's parents had roots in India and Persia. Mercury was born in Zanzibar. ,24,0:04:25,0:04:49
9,3,,Mercury announces his name change,"Born Farrokh Bulsara, Mercury changed his name legally in 1970",7,0:04:49,0:04:56
10,3,,Mercury's father scolds him for going out too much,His parents hoped he would return to 'proper studies' ,17,0:04:56,0:05:13
11,3,,Mercury watches a Smile gig at a student bar,"Smile played loads of student bars, and Mercury was a friend and fan of the band",78,0:05:13,0:06:31
12,3,,Staffell tells the guys he's leaving Smile,Staffell left Smile to join Humpy Bong,25,0:06:31,0:06:56
13,1,,"Mercury meets Austin, the chemistry is instant","Mercury met Austin sometime later, but once they met, they were connected for life",49,0:06:56,0:07:45
14,3,,May and Taylor reflect on Staffell leaving ,They didn't blame him ,12,0:07:45,0:07:57
15,0,,Mercury introduces himself as a fan to May and Taylor,Mercury was already friends with the band,27,0:07:57,0:08:24
16,1,,Mercury breaks into song. The guys are impressed. ,"Mercury did replace Staffell, after years of pestering to join the band",55,0:08:24,0:09:19
17,3,,Mercury explains he has four extra teeth = more vocal range,Mercury did think his extra 4 teeth improved his voice,7,0:09:19,0:09:26
18,3,,"Mercury saunters off, radiating confidence",He was super confident in his own talent,12,0:09:26,0:09:38
19,3,,Mercury visits Austin at Biba,Mercury hung out at Biba for 6 months before finally asking her out ,39,0:09:38,0:10:17
20,3,,Mercury and Austin flirt intensely,They were intrigued by one another,60,0:10:17,0:11:17
21,2,,Queen play 'Keep Yourself Alive' at a student bar,"That was one of their earliest tracks, but Deacon didn't join until later",29,0:11:17,0:11:46
22,-1,,Mercury is heckled with a racist slur,Unknown,6,0:11:46,0:11:52
23,3,,Mercury snaps his mic stand,"It was an accident, but he owned that look from then on ",42,0:11:52,0:12:34
24,2,,Mercury is making up his own lyrics at a Smile gig,Unknown,21,0:12:34,0:12:55
25,3,,Mercury owns the stage. The crowd are loving him,It was immediately clear he was a gifted frontman,33,0:12:55,0:13:28
26,3,,Mercury checks the papers for studio flats to rent,He did rent a bedsit around this time,17,0:13:28,0:13:45
27,2,,The van breaks down and Taylor moans about being broke,"The band's bad contract meant they were broke, despite their success",24,0:13:45,0:14:09
28,-1,,Mercury wants the band to record an album,Unknown,17,0:14:09,0:14:26
29,1,,Mercury announces Queen will record an album that night,They didn't record an album in one night,10,0:14:26,0:14:36
30,3,,In the studio the band gets experimental,The band were always looking for ways to innovate,79,0:14:36,0:15:55
31,2,,"Someone from EMI walks in, asks for a demo",EMI did get hold of a Queen demo in the early years,12,0:15:55,0:16:07
32,3,,Mercury sketches the new Queen logo,He did design Queen's famous royal crest,8,0:16:07,0:16:15
33,3,,Mercury has renamed the band ,He chose 'Queen' for it's regality and outrageousness,15,0:16:15,0:16:30
34,3,,Mercury has a piano headboard,He had a piano for a headboard so he could play what he heard in his dreams,39,0:16:30,0:17:09
35,3,,Mercury tells Austin he will always look after her,"He took care of her until the day he died, when he left her almost everything",32,0:17:09,0:17:41
36,2,,Austin and Mercury's families meet. Her parents are deaf. ,"We don't know if the families met, but her parents were indeed deaf",15,0:17:41,0:17:56
37,-1,,Mercury makes an awkward faux pas,Unknown,17,0:17:56,0:18:13
38,-1,,Mercury's mother tells the band about his heritage,Unknown,19,0:18:13,0:18:32
39,1,,Mercury's family fled Zanzibar with just the clothes on their backs,"They were forced to leave, but they had plenty of resources",22,0:18:32,0:18:54
40,3,,Mercury's mum boasts of his boxing talents,Mercury won trophies for boxing in his youth,17,0:18:54,0:19:11
41,3,,Mercury tells his family he's legally changed his name,He changed his name officially in 1970,17,0:19:11,0:19:28
42,2,,Mercury's father is unhappy about the name change,Unknown,18,0:19:28,0:19:46
43,3,,May studied astrophysics and Taylor studied dentistry,Both true – May returned to astrophysics in later life,34,0:19:46,0:20:20
44,2,,John Reid wants to manage the band,"He did, but it was a much longer process than shown",43,0:20:20,0:21:03
45,2,,Mercury appears in a flamboyant leather jacket,"Mercury was fashion-forward and a free thinker, he wore what he liked",22,0:21:03,0:21:25
46,2,,Queen describe themselves as misfits playing for other misfits,"The guys have said Queen were never fashionable, even when they were successful",46,0:21:25,0:22:11
47,0,,Reid introduces Paul Prenter,"Prenter didn't come on the scene until after Live Aid, in 1977",10,0:22:11,0:22:21
48,2,,Plans for Top of the Pops then a Japan tour,They did do TOTP but the Japan tour came later,6,0:22:21,0:22:27
49,1,,Reid proposes a tour of Japan,"Queen toured Japan, but not until later",24,0:22:27,0:22:51
50,3,,The band are incredulous about not being able to play live on TOTP,They were annoyed about it and thought it seriously uncool ,41,0:22:51,0:23:32
51,2,,They play 'Killer Queen' on TOTP,Killer Queen' was their second TOTP performance later that year,30,0:23:32,0:24:02
52,2,,Top of the Pops / Japan live tour montage,The Japan tour came later,13,0:24:02,0:24:15
53,3,,Mercury opens up to Austin,He considered her the only real friend he ever had,43,0:24:15,0:24:58
54,2,,Mercury proposes to Austin,It went down almost exactly like it did in the film ,93,0:24:58,0:26:31
55,0,,The band burst in on the intimate scene,Probably didn't happen,18,0:26:31,0:26:49
56,3,,Reid has booked Queen on a US tour,Queen toured the US for the first time in 1974,35,0:26:49,0:27:24
57,3,,Queen smash the US tour night after night. ,The tour was a massive hit. ,149,0:27:24,0:29:53
58,1,,The band meet EMI exec Ray Foster,Foster was a composite character,27,0:29:53,0:30:20
59,3,,Mercury nicknames Beach 'Miami',He still goes by that nickname today,26,0:30:20,0:30:46
60,3,,Mercury proposes an operatic record,The band were all for a new musical experience,103,0:30:46,0:32:29
61,2,,Prenter and Queen arrive at Rockfield Farm,"Queen did record 'Bohemian Rhapsody' at Rockfield farm, but Prenter wasn't there",109,0:32:29,0:34:18
62,3,,"Mercury, inspired, scribbles on a scrap of paper",He'd done this since childhood,41,0:34:18,0:34:59
63,0,,Mercury plays 'Love of My Life' to Prenter,Prenter wasn't at Rockfield Farm ,55,0:34:59,0:35:54
64,2,,Mercury says he wrote the song for Austin,He did write 'Love of My Life' for Austin,19,0:35:54,0:36:13
65,1,,Prenter kisses Mercury,"They became lovers, but not until later",70,0:36:13,0:37:23
66,3,,May and Deacon mock Taylor's 'I'm in Love with My Car',May thought it was a joke when he first heard it,70,0:37:23,0:38:33
67,3,,Mercury completes the 'Mama' ballad,Mercury did finalise his composition at Rockfield Farm,77,0:38:33,0:39:50
68,3,,May lays down his iconic 'Bohemian Rhapsody' guitar solo,May did write his solo piece for the track,90,0:39:50,0:41:20
