,truth_int,duration,start,end
0,3,196,0:00:43,0:03:59
1,3,152,0:03:59,0:06:31
2,1,175,0:06:31,0:09:26
3,3,188,0:09:26,0:12:34
4,3,122,0:12:34,0:14:36
5,3,185,0:14:36,0:17:41
6,-1,107,0:17:41,0:19:28
7,2,173,0:19:28,0:22:21
8,3,157,0:22:21,0:24:58
9,3,348,0:24:58,0:30:46
10,3,397,0:30:46,0:37:23
11,3,564,0:37:23,0:46:47
12,3,253,0:46:47,0:51:00
13,3,358,0:51:00,0:56:58
14,3,331,0:56:58,1:02:29
15,3,269,1:02:29,1:06:58
16,3,217,1:06:58,1:10:35
17,0,291,1:10:35,1:15:26
18,2,78,1:15:26,1:16:44
19,2,238,1:16:44,1:20:42
20,3,208,1:20:42,1:24:10
21,1,345,1:24:10,1:29:55
22,-1,381,1:29:55,1:36:16
23,0,282,1:36:16,1:40:58
24,3,186,1:40:58,1:44:04
25,2,170,1:44:04,1:46:54
26,3,348,1:46:54,1:52:42
27,3,242,1:52:42,1:56:44
