,truth_int,fiction type ,film_condensed,reality_condensed,duration,start,end
0,3,,1967 - height of cold war.,Spies everywhere in 1957. ,21,0:01:14,0:01:35
1,3,,"Russian spy Abel paints in a studio, gets a call. ",Abel set himself up as an artist in Brooklyn. ,75,0:01:35,0:02:50
2,2,dramatic license,"Leaves his studio, tailed by the FBI.",The FBI were after Abel. ,152,0:02:50,0:05:22
3,2,dramatic license,Sits painting by the riverside. ,The FBI were after Abel. ,14,0:05:22,0:05:36
4,2,narrative cohesion,Covertly removes a coin from underneath a bench. ,A hollow nickel was a key piece of evidence. ,36,0:05:36,0:06:12
5,2,narrative cohesion,"Goes home, pries coin open - there's a note inside. ",Tiny notes showing groups of numbers were found. ,127,0:06:12,0:08:19
6,2,dramatic license,The FBI burst in. Abel destroys the note. ,Abel was naked when they arrested him in his hotel. ,131,0:08:19,0:10:30
7,3,,Insurance lawyer Donovan discusses a claim with fellow lawyer. ,Donovan was an insurance lawyer. ,132,0:10:30,0:12:42
8,3,,"Returns to his office, his name on the door. ",Donovan was a partner in Watters & Donovan law firm.,30,0:12:42,0:13:12
9,3,,Watters asks him to take Abel's case. He agrees.,The bar recommended Donovan take the case.,115,0:13:12,0:15:07
10,2,narrative cohesion,"Donovan asks his associate, Forrester, to help. ",Donovan requested an associate. ,34,0:15:07,0:15:41
11,3,,Donovan argues with wife Mary about the case.,Mary wasn't happy about the case.,125,0:15:41,0:17:46
12,3,,"He visits Abel, who accepts his representation. ",Abel accepted Donovan's representation. ,265,0:17:46,0:22:11
13,2,dramatic license,Captain Powers undergoes CIA recruitment protocol.,Powers joined the CIA in 1956. ,44,0:22:11,0:22:55
14,2,dramatic license,Agent Williams recruits Powers & others. ,Powers joined the CIA in 1956. ,151,0:22:55,0:25:26
15,3,,"Donovan requests a trial extension, Judge Byers refuses. ",Donovan requested an extension - rejected. ,84,0:25:26,0:26:50
16,-1,dramatic license,Agent Hoffman accosts Donovan in the street. ,Not in the memoir. ,113,0:26:50,0:28:43
