,truth_int,duration,start,end
0,2,248,0:01:14,0:05:22
1,2,177,0:05:22,0:08:19
2,3,293,0:08:19,0:13:12
3,3,274,0:13:12,0:17:46
4,3,460,0:17:46,0:25:26
5,-1,351,0:25:26,0:31:17
6,3,210,0:31:17,0:34:47
7,3,178,0:34:47,0:37:45
8,3,294,0:37:45,0:42:39
9,2,313,0:42:39,0:47:52
10,3,199,0:47:52,0:51:11
11,3,194,0:51:11,0:54:25
12,3,68,0:54:25,0:55:33
13,3,90,0:55:33,0:57:03
14,3,216,0:57:03,1:00:39
15,3,162,1:00:39,1:03:21
16,3,375,1:03:21,1:09:36
17,2,292,1:09:36,1:14:28
18,3,270,1:14:28,1:18:58
19,3,612,1:18:58,1:29:10
20,3,438,1:29:10,1:36:28
21,3,202,1:36:28,1:39:50
22,3,284,1:39:50,1:44:34
23,0,334,1:44:34,1:50:08
24,-1,292,1:50:08,1:55:00
25,3,219,1:55:00,1:58:39
26,3,387,1:58:39,2:05:06
27,2,230,2:05:06,2:08:56
