,truth_int,duration,start,end
0,-1,231,0:00:37,0:04:28
1,-1,191,0:04:28,0:07:39
2,-1,256,0:07:39,0:11:55
3,-1,255,0:11:55,0:16:10
4,-1,253,0:16:10,0:20:23
5,-1,242,0:20:23,0:24:25
6,-1,222,0:24:25,0:28:07
7,-1,431,0:28:07,0:35:18
8,-1,391,0:35:18,0:41:49
9,-1,306,0:41:49,0:46:55
10,-1,311,0:46:55,0:52:06
11,-1,181,0:52:06,0:55:07
12,-1,284,0:55:07,0:59:51
13,-1,298,0:59:51,1:04:49
14,-1,288,1:04:49,1:09:37
15,-1,420,1:09:37,1:16:37
16,-1,323,1:16:37,1:22:00
17,-1,234,1:22:00,1:25:54
18,-1,215,1:25:54,1:29:29
19,-1,286,1:29:29,1:34:15
20,-1,191,1:34:15,1:37:26
21,-1,255,1:37:26,1:41:41
22,-1,386,1:41:41,1:48:07
23,-1,256,1:48:07,1:52:23
24,-1,180,1:52:23,1:55:23
25,-1,220,1:55:23,1:59:03
26,-1,108,1:59:03,2:00:51
27,-1,159,2:00:51,2:03:30
