,truth_int,fiction type ,film_condensed,reality_condensed,duration,start,end
0,2,character development,Ron has a threesome at a rodeo. ,"Ron had a lot of sex, no bullriding. ",63,0:00:48,0:01:51
1,3,,He & the guys talk about Rock Hudson being gay.,Rock Hudson was gay.,51,0:01:51,0:02:42
2,1,dramatic license,"TJ prepares to ride a bull, Ron encourages him. ",TJ was fictional. ,73,0:02:42,0:03:55
3,1,dramatic license,The bull ditches TJ straight away.,TJ was fictional. ,18,0:03:55,0:04:13
4,0,character development,"Gamblers chase Ron, who punches officer Tucker to get arrested.",Tucker was fictional.,43,0:04:13,0:04:56
5,0,character development,Tucker drops Ron at the trailer park. ,Tucker was fictional.,47,0:04:56,0:05:43
6,0,character development,"Ron stumbles, Tucker is worried. ",Tucker was fictional.,16,0:05:43,0:05:59
7,-1,,"Ron's ears ring, he passes out. ",His residences aren't public knowledge. ,21,0:05:59,0:06:20
8,3,,"He wakes up, weak & coughing. ",Was was emaciated.,23,0:06:20,0:06:43
9,-1,,He sells cocaine at work on the oil rig.,Not public knowledge.,48,0:06:43,0:07:31
10,3,,The boss calls him over to deal with an injury. ,Ron was an electrician.,3,0:07:31,0:07:34
11,-1,,"Ron flicks a switch, gets electrocuted. ",Not public knowledge.,42,0:07:34,0:08:16
12,-1,,He wakes up in hospital.,Not public knowledge.,26,0:08:16,0:08:42
13,3,,Dr. Saks (Eve) & Dr. Sevard tell Ron he's HIV+.,Ron was diagnosed 1986.,58,0:08:42,0:09:40
14,1,character development,"He's angry, in denial. ",Ron's sexuality/homophobia is contested. ,133,0:09:40,0:11:53
15,-1,,He hangs back from partying with TJ. ,Not public knowledge.,98,0:11:53,0:13:31
16,-1,,He tells TJ about the diagnosis. ,Not public knowledge.,84,0:13:31,0:14:55
17,-1,,"TJ leaves with 2 women, Ron stays. ",Not public knowledge.,34,0:14:55,0:15:29
18,-1,,He looks scared. ,Not public knowledge.,12,0:15:29,0:15:41
19,3,,He researches HIV/AIDS at the library. ,Ron was a dedicated researcher. ,10,0:15:41,0:15:51
20,3,,A drugs rep pitches AZT to hospital staff. ,AZT was rushed to approval. ,88,0:15:51,0:17:19
21,2,character development,Eve is concerned about AZT's safety. ,Eve was fictional. ,21,0:17:19,0:17:40
22,3,,Ron learns HIV is sexually & intravenously transmitted. ,Ron was a dedicated researcher. ,33,0:17:40,0:18:13
23,3,,Flashback to Ron having unprotected sex with an addict. ,Ron contracted HIV from a user. ,18,0:18:13,0:18:31
24,-1,,"He hits the desk, screams. ",Not public knowledge.,11,0:18:31,0:18:42
25,3,,At the hospital he demands to see Sevard. ,Ron was severely ill. ,28,0:18:42,0:19:10
26,1,character development,"Eve turns up, offers her help. ",Ron would deal with one doctor. ,35,0:19:10,0:19:45
27,-1,,Ron clocks a janitor looking at him.,Not public knowledge.,8,0:19:45,0:19:53
28,2,dramatic license,Ron begs Eve for AZT. She says no. ,"Ron was denied AZT, sued for it. ",147,0:19:53,0:22:20
29,2,,"At the bar, Ron's friends reject him.",Ron's friends turned on him.,85,0:22:20,0:23:45
30,2,,The guys are disgusted that he touched them. ,People were ignorant about transmission.,7,0:23:45,0:23:52
31,2,character development,"Ron enters a support meeting, walks straight out.",Ron's sexuality/homophobia is contested. ,64,0:23:52,0:24:56
32,3,,He prays for more time. ,Ron wanted more time.,46,0:24:56,0:25:42
33,1,dramatic license,He approaches the janitor at a strip club.,Ron got AZT legally. ,47,0:25:42,0:26:29
34,0,dramatic license,"Hospital carpark, janitor drops a package for Ron.",Ron got AZT legally. ,23,0:26:29,0:26:52
35,2,,It's AZT. Ron swallows a few pills. ,Ron took AZT.,41,0:26:52,0:27:33
36,3,,His colleagues refuse him entry at work. ,Ron's friends turned on him.,37,0:27:33,0:28:10
37,2,character development,Montage - Ron unravels...,Ron led a colourful life.,50,0:28:10,0:29:00
38,2,dramatic license,janitor says no more AZT. Ron passes out.,"Ron passed out, woke up in hospital.",44,0:29:00,0:29:44
39,0,dramatic license,Ron wakes in hospital. Sevard questions the AZT in his system. ,Ron got AZT legally. ,73,0:29:44,0:30:57
40,0,character development,"HIV patient Rayon, a trans woman, walks over.",Rayon was fictional.,74,0:30:57,0:32:11
41,0,character development,Rayon & Ron play cards.,Rayon was fictional.,26,0:32:11,0:32:37
42,0,character development,"Ron's leg cramps, Rayon squeezes it. ",Rayon was fictional.,42,0:32:37,0:33:19
43,0,character development,"Rayon compliments Ron's feet, he pulls away. ",Rayon was fictional.,23,0:33:19,0:33:42
44,2,character development,"Rayon explains she's in the AZT trial, Ron wants in. ",People on AZT trials pooled their meds. ,65,0:33:42,0:34:47
45,3,,"He walks out, on a mission. ",Ron wouldn't give in to AIDS.,29,0:34:47,0:35:16
46,2,dramatic license,He gets home to find his trailer vandalised. ,Ron's friends turned on him.,47,0:35:16,0:36:03
47,-1,,He searches for his stashed cash. ,Not public knowledge.,36,0:36:03,0:36:39
48,-1,,He drives away with his cash & a painting. ,Not public knowledge.,18,0:36:39,0:36:57
49,-1,,He breaks down weeping. ,Not public knowledge.,78,0:36:57,0:38:15
50,2,narrative cohesion,"He drives to a hospital the janitor spoke of, in Mexico. ",Ron met a doctor in Mexico. ,20,0:38:15,0:38:35
51,3,,"Ron asks Dr. Vass for AZT, he refuses. ",Ron met a doctor in Mexico. ,33,0:38:35,0:39:08
52,3,,Vass puts him on a regimen of healthy supplements.,Ron ate healthily. ,69,0:39:08,0:40:17
53,0,character development,"Eve treats Rayon, they are friends. ",Rayon & Eve were fictional.,76,0:40:17,0:41:33
54,3,,"Ron's looking good, suggests Vass sells his vitamin cocktail. ",Ron had dealings with Mexican doctors. ,87,0:41:33,0:43:00
55,3,,Ron makes plans to smuggle Vass' drugs. ,Ron packed his Lincoln with drugs.,58,0:43:00,0:43:58
56,3,,Ron tries to cross the border dressed as a priest. ,Ron dressed up for customs. ,41,0:43:58,0:44:39
57,3,,Barkley of FDA questions him at customs. ,A 90-day supply was allowed.,114,0:44:39,0:46:33
58,-1,,"Ron tries to sell to gay guys, unsuccessful. ",Not public knowledge.,48,0:46:33,0:47:21
59,3,,FDA end AZT trial early. Eve worried. ,AZT hit the market in record time.,23,0:47:21,0:47:44
60,3,,Sevard dismisses Eve's concerns. ,Many doctors were concerned.,31,0:47:44,0:48:15
61,0,character development,"Rayon teases Ron, says she can get him clients. ",Rayon was fictional.,69,0:48:15,0:49:24
62,0,character development,They cut a deal. ,Rayon was fictional.,65,0:49:24,0:50:29
63,0,character development,Sales are great. ,Rayon was fictional.,13,0:50:29,0:50:42
64,1,character development,They sell in a gay club. ,Ron worked with the gay community. ,67,0:50:42,0:51:49
65,3,,"Ron back in the library, researching. ",Ron was a dedicated researcher. ,16,0:51:49,0:52:05
66,2,,He & Rayon pull into an apartment complex. ,Ron worked out of an office.,18,0:52:05,0:52:23
67,2,,"They enter a run-down apartment, their new 'office'.",Ron worked out of an office.,17,0:52:23,0:52:40
68,3,,They've set up a buyers club.,Ron set up a buyers club. ,61,0:52:40,0:53:41
69,3,,AZT approved by the FDA. ,AZT was approved in record time.,0,0:53:41,0:53:41
70,2,character development,"Ron & Rayon look better, business is good. ","The club was succesful, Ron grew stronger.",119,0:53:41,0:55:40
71,0,dramatic license,Eve asks after Rayon in the hospital.,Eve was fictional. ,16,0:55:40,0:55:56
72,3,,Ron orders InterfeRon from Japan. ,Ron went to Japan.,21,0:55:56,0:56:17
73,2,dramatic license,Eve finds Rayon's files in Ron's office. ,Eve was fictional. ,50,0:56:17,0:57:07
74,2,character development,Ron & Rayon shop for healthfood. ,Ron ate healthily. ,41,0:57:07,0:57:48
75,0,character development,"They bump into TJ, he insults Rayon, Ron attacks him. ",Rayon & TJ were fictional.,104,0:57:48,0:59:32
76,3,,Men queue outside the office for membership.,Ron had 4000 customers.,12,0:59:32,0:59:44
77,-1,,"A guy wants to join for $50. Ron says no, it's $400.",Not public knowledge.,27,0:59:44,1:00:11
78,2,character development,Ron prepares to go overseas. Rayon is high. ,Ron had a trusted secretary.,77,1:00:11,1:01:28
79,3,,Ron pulls up in Tokyo.,Ron imported from Japan. ,11,1:01:28,1:01:39
80,3,,"Yamata won't sell him InterfeRon, only doctors can buy it. ",Ron bribed a worker to show him the accounts.,67,1:01:39,1:02:46
81,3,,Ron bribes a doctor to order it. ,Ron bribed a doctor to order Interferon.,33,1:02:46,1:03:19
82,3,,Ron dresses up for customs.,Ron dressed up to get through customs. ,19,1:03:19,1:03:38
83,3,,He fakes it through as a doctor. ,Ron dressed up to get through customs. ,28,1:03:38,1:04:06
84,2,dramatic license,"Ron injects InterfeRon, has a heart attack. ",Ron injected unknown drugs.,47,1:04:06,1:04:53
85,2,,"In hospital, Ron wakes to questions from Sevard, Barkley. ",The FDA went after Ron.,107,1:04:53,1:06:40
86,2,character development ,Ron & Rayon leave. ,Ron refused hospital treatment.,6,1:06:40,1:06:46
87,2,character development ,Eve defends buyers clubs to Sevard.,Many doctors supported buyers clubs.,31,1:06:46,1:07:17
88,3,,FDA confiscate Ron's InterfeRon. ,The FDA confiscated Ron's drugs.,30,1:07:17,1:07:47
89,2,dramatic license,Montage - Ron travels the world to source InterfeRon. ,Ron imported internationally. ,29,1:07:47,1:08:16
90,2,,Eve is concerned about the safety of Ron's club. ,Some doctors worked with buyers clubs.,97,1:08:16,1:09:53
91,2,narrative cohesion,Sevard's trial patients have abandoned him.,Patients often switched from hospitals to clubs.,20,1:09:53,1:10:13
