,truth_int,duration,start,end
0,1,248,0:00:48,0:04:56
1,-1,155,0:04:56,0:07:31
2,1,262,0:07:31,0:11:53
3,-1,238,0:11:53,0:15:51
4,3,171,0:15:51,0:18:42
5,2,303,0:18:42,0:23:45
6,2,187,0:23:45,0:26:52
7,2,245,0:26:52,0:30:57
8,0,230,0:30:57,0:34:47
9,-1,208,0:34:47,0:38:15
10,3,285,0:38:15,0:43:00
11,3,284,0:43:00,0:47:44
12,0,245,0:47:44,0:51:49
13,3,112,0:51:49,0:53:41
14,2,247,0:53:41,0:57:48
15,0,231,0:57:48,1:01:39
16,3,194,1:01:39,1:04:53
17,2,203,1:04:53,1:08:16
18,2,156,1:08:16,1:10:52
19,0,125,1:10:52,1:12:57
20,-1,283,1:12:57,1:17:40
21,3,173,1:17:40,1:20:33
22,1,202,1:20:33,1:23:55
23,0,218,1:23:55,1:27:33
24,0,285,1:27:33,1:32:18
25,-1,145,1:32:18,1:34:43
26,-1,134,1:34:43,1:36:57
27,2,214,1:36:57,1:40:31
