,truth_int,duration,start,end
0,3,135,0:00:42,0:02:57
1,0,306,0:02:57,0:08:03
2,3,240,0:08:03,0:12:03
3,2,226,0:12:03,0:15:49
4,3,270,0:15:49,0:20:19
5,2,211,0:20:19,0:23:50
6,1,354,0:23:50,0:29:44
7,3,391,0:29:44,0:36:15
8,-1,273,0:36:15,0:40:48
9,0,322,0:40:48,0:46:10
10,2,174,0:46:10,0:49:04
11,1,156,0:49:04,0:51:40
12,3,281,0:51:40,0:56:21
13,3,165,0:56:21,0:59:06
14,2,127,0:59:06,1:01:13
15,1,260,1:01:13,1:05:33
16,3,269,1:05:33,1:10:02
17,3,293,1:10:02,1:14:55
18,3,224,1:14:55,1:18:39
19,3,130,1:18:39,1:20:49
20,0,363,1:20:49,1:26:52
21,2,244,1:26:52,1:30:56
22,2,315,1:30:56,1:36:11
23,1,272,1:36:11,1:40:43
24,2,245,1:40:43,1:44:48
25,3,271,1:44:48,1:49:19
26,3,439,1:49:19,1:56:38
27,3,155,1:56:38,1:59:13
