,truth_int,fiction type ,film_condensed,reality_condensed,duration,start,end
0,3,,"Shots of India, where the story begins. ","This really is India, so we're off to a good start. ",109,0:00:41,0:02:30
1,2,,A little boy is transfixed by a flight of butterflies. ,"The landscape is convincing, the butterflies less so. ",22,0:02:30,0:02:52
2,3,,Someone appears nearby & shouts Saroo's name.,This is perfectly plausible. ,11,0:02:52,0:03:03
3,1,,The brothers steal coal from a moving train. ,"Probably not, but they got up to similar scrapes. ",27,0:03:03,0:03:30
4,1,,A guard spots & pursues the brothers. It is 1986. ,Not likely that this happened. Certainly not today. ,34,0:03:30,0:04:04
5,2,,They swap their stolen coal for milk. ,"It didn't happen, but it could have. (But didn't.)",50,0:04:04,0:04:54
6,0,,The brothers fantasise about jalebis. ,"No, this is totally made up. ",22,0:04:54,0:05:16
7,1,,They present the milk to their mother. ,There was no milk on this particular evening. ,31,0:05:16,0:05:47
8,1,,They drink the milk together. ,They had no milk to drink. ,39,0:05:47,0:06:26
9,3,,His mum asks Saroo to look after Shekila. ,Saroo often had to care for his sister. ,15,0:06:26,0:06:41
10,3,,Guddu gets ready to leave. Saroo asks to accompany him. ,Guddu was about to leave when Saroo asked to go too.,31,0:06:41,0:07:12
11,1,,Guddu refuses to allow Saroo to go with him. ,Guddu didn't refuse. He accepted. ,11,0:07:12,0:07:23
12,0,,Saroo convinces Guddu to let him go with him. ,Guddu had already accepted. ,35,0:07:23,0:07:58
13,3,,Guddu takes Saroo into town on a bike.,Guddu did give Saroo a lift into town. ,15,0:07:58,0:08:13
14,3,,They board a train. ,The did indeed board a train. ,3,0:08:13,0:08:16
15,2,,They search around for anything of value. ,Saroo doesn't mention this in the book.,13,0:08:16,0:08:29
16,3,,They sit together & Saroo falls asleep. ,"Pretty much, minus the coin. ",20,0:08:29,0:08:49
17,3,,"At the station, Saroo sleeps on a bench. ",Saroo did continue to sleep on the platform bench. ,41,0:08:49,0:09:30
18,3,,Guddu leaves Saroo & goes to look for work. ,Guddu did leave Saroo to go & do some things. ,37,0:09:30,0:10:07
19,3,,"Saroo wakes up, calls his brother's name & boards the train. ",Saroo woke up & got on the train. ,71,0:10:07,0:11:18
20,2,,Saroo looks for Guddu before falling asleep. ,Saroo went straight back to sleep. ,24,0:11:18,0:11:42
21,3,,Saroo wakes up on a moving train & is scared. ,He woke up & was soon in a panic. ,67,0:11:42,0:12:49
22,3,,Saroo is upset as the train takes him further away.,Saroo curled up in a ball & cried. Poor mite.,38,0:12:49,0:13:27
23,2,,"At night, Saroo speaks to his family. ","He didn't mention this, but he's only human. ",14,0:13:27,0:13:41
