,truth_int,duration,start,end
0,3,275,0:00:41,0:05:16
1,1,177,0:05:16,0:08:13
2,3,209,0:08:13,0:11:42
3,3,317,0:11:42,0:16:59
4,0,237,0:16:59,0:20:56
5,2,234,0:20:56,0:24:50
6,3,286,0:24:50,0:29:36
7,3,217,0:29:36,0:33:13
8,0,136,0:33:13,0:35:29
9,0,263,0:35:29,0:39:52
10,3,284,0:39:52,0:44:36
11,3,314,0:44:36,0:49:50
12,3,216,0:49:50,0:53:26
13,1,298,0:53:26,0:58:24
14,0,199,0:58:24,1:01:43
15,2,320,1:01:43,1:07:03
16,0,480,1:07:03,1:15:03
17,1,298,1:15:03,1:20:01
18,3,228,1:20:01,1:23:49
19,3,384,1:23:49,1:30:13
20,3,395,1:30:13,1:36:48
21,2,352,1:36:48,1:42:40
22,3,330,1:42:40,1:48:10
23,3,276,1:48:10,1:52:46
24,3,38,1:52:46,1:53:24
