,truth_int,fiction type ,film_condensed,reality_condensed,duration,start,end
0,3,,Lauda talks about his rivalry with Hunt. ,Lauda & Hunt were rivals. ,115,0:01:16,0:03:11
1,2,Character development,"Hunt swaggers into hospital, injured.","Hunt was hospitalised, & made the most of it. ",75,0:03:11,0:04:26
2,3,,Hunt has sex with a nurse.,Hunt loved sex.,51,0:04:26,0:05:17
3,3,,Crystal Palace 1970.,Hunt raced at Crystal Palace.,59,0:05:17,0:06:16
4,3,,Hunt throws up. ,Hunt threw up before every race.,22,0:06:16,0:06:38
5,0,Dramatic license,Hunt sees Lauda. ,Lauda wasn't there.,78,0:06:38,0:07:56
6,0,Dramatic license,Hunt beats Lauda in the race.,Lauda wasn't there.,119,0:07:56,0:09:55
7,0,Dramatic license,Lauda & Hunt argue.,Lauda wasn't there.,67,0:09:55,0:11:02
8,3,,"Lauda asks his dad for money, he refuses.",Lauda's family didn't support his career.,63,0:11:02,0:12:05
9,3,,He gets a bank loan. ,Lauda's early career was funded through bank loans.,12,0:12:05,0:12:17
10,3,,Lauda is rushed to hospital. ,Lauda was helicoptered to hospital.,42,1:12:25,1:13:07
11,1,Character development,Hunt wins Driver of the Year.,Hunt won second place.,77,0:12:17,0:13:34
12,3,,He finds out about Lauda's funding. ,Lauda bought his way into the sport.,41,0:13:34,0:14:15
13,3,,Lauda enters BRM for testing. ,BRM sought Lauda out.,34,0:14:15,0:14:49
14,3,,"He meets the new team, they're not keen. ",Lauda was the straight-talking type.,32,0:14:49,0:15:21
15,3,,He suggests improvements on the car. ,Lauda was an expert.,42,0:15:21,0:16:03
16,3,,They work on the car.,BRM had to do a lot to bring their cars up to standard.,43,0:16:03,0:16:46
17,1,Dramatic license,Lauda wins a bet.,"At Ferrari, not BRM.",82,0:16:46,0:18:08
18,3,,Lauda demands a 2yr contract.,Lauda got his 2yr contract.,63,0:18:08,0:19:11
19,0,Character development,Regazzoni warns Lauda not to date the track manager. ,Lauda was in a committed relationship.,83,0:19:11,0:20:34
20,3,,Hunt's team give him an F1 car.,Hesketh bought a March 731.,84,0:20:34,0:21:58
21,3,,Hunt sees a crash at F1.,Hunt saw the crash.,63,0:21:58,0:23:01
22,2,,"Finds out it was fatal, throws up.",Mark Donohue lost his life.,31,0:23:01,0:23:32
23,1,character development,Hunt calls for the race to be cancelled. ,This moment isn't in the Calley book. ,38,0:23:32,0:24:10
24,-1,,Hunt visualises the race.,This moment isn't in the Calley book. ,22,0:24:10,0:24:32
25,2,Narrative cohesion,Suzy & Hunt meet. ,"They met in Spain, got engaged.",140,0:24:32,0:26:52
26,3,,They get married. ,"They were married, Hesketh paid.",31,0:26:52,0:27:23
27,3,,Lauda gets signed by Ferrari. ,Ferrari headhunted Lauda.,29,0:27:23,0:27:52
28,3,,Lauda tells the engineers the Ferrari is shit.,Ferrari was paling until Lauda joined .,32,0:27:52,0:28:24
29,3,,Ferrari introduce Lauda & Regazzoni as their drivers.,Regazzoni persuaded Ferrari to take Lauda too.,12,0:28:24,0:28:36
30,3,,They drive through the countryside. ,They were buddies.,69,0:28:36,0:29:45
31,2,,Lauda asks Marlene for a lift from a party.,Lauda met Marlene at a party.,74,0:29:45,0:30:59
32,0,Dramatic license,Lauda tells Marlene her car is dodgy. ,Didn't happen.,68,0:30:59,0:32:07
33,0,Dramatic license,"The car breaks down, they flag a lift with 2 fans.",Didn't happen.,109,0:32:07,0:33:56
34,0,Dramatic license,The fans are super excited. ,Didn't happen.,72,0:33:56,0:35:08
35,0,Dramatic license,"Lauda puts his food down, Marlene is smitten. ",Didn't happen.,30,0:35:08,0:35:38
36,3,,Lauda wins the 1975 US Grand Prix.,Lauda was 1975 world champion.,121,0:35:38,0:37:39
37,2,Character development,Hunt says Lauda only won because his car was better. ,Lauda was a pro with engines.,144,0:37:39,0:40:03
38,3,,Hunt finds his team gone.,Team Hesketh ran out of money.,30,0:40:03,0:40:33
39,3,,Hesketh tells him they've gone bust.,The team got no sponsorship.,80,0:40:33,0:41:53
40,3,,Hunt gets wasted. ,Hunt lost his drive.,37,0:41:53,0:42:30
41,3,,Hunt finds out his reputation lost them sponsorship.,The team got no sponsorship.,27,0:42:30,0:42:57
42,3,,Hunt turns on Suzy. ,Their marriage was miserable .,102,0:42:57,0:44:39
43,3,,A spot opens at McLaren.,Hunt wanted Fittapaldi's spot.,37,0:44:39,0:45:16
44,3,,Hunt pleads for the drive. ,McLaren took Hunt on.,71,0:45:16,0:46:27
45,3,,Bubbles assures McLaren that Hunt can drive. ,Mayer disapproved of Hunt's antics.,24,0:46:27,0:46:51
46,3,,"Grand Premio de Brazil, Hunt & Lauda prep. ",Hunt & Lauda were true rivals.,70,0:46:51,0:48:01
47,3,,"Lauda wins, Hunt's car fails. ","Lauda won, Hunt retired.",13,0:48:01,0:48:14
48,3,,"Lauda wins South Africa, Hunt comes second. ","Lauda won, Hunt second.",22,0:48:14,0:48:36
49,3,,"Hunt wins Spain, Lauda second. Hunt disqualified. ","Lauda second, Hunt won (disqualified).",93,0:48:36,0:50:09
50,3,,"Monaco, Hunt's car fails. ","Lauda won, Hunt retired.",31,0:50:09,0:50:40
51,3,,"Belgium, Hunt's car fails again.","Lauda won, Hunt retired.",61,0:50:40,0:51:41
52,3,,Hunt blames Lauda for his bad performances. ,Lauda gave evidence against Hunt in F1 court.,68,0:51:41,0:52:49
53,3,,Suzy has an affair with Burton. ,Suzy had an affair with Burton.,32,0:52:49,0:53:21
54,3,,"Hunt & Suzy talk, she ends it. ",Suzy left Hunt for Burton.,96,0:53:21,0:54:57
55,3,,Hunt leaves alone. ,Hunt was relieved Suzy had left him.,40,0:54:57,0:55:37
56,3,,Hunt hooks up with an air hostess. ,"Hunt got laid, a lot & had a thing fro air-stewardesses.",57,0:55:37,0:56:34
57,3,,"Grand Prix de France, Hunt wins, Lauda retires. ","Lauda retired, Hunt won.",43,0:56:34,0:57:17
58,3,,"British Grand Prix, Hunt wins, Lauda second. ","Lauda won, Hunt second (disqualified).",49,0:57:17,0:58:06
59,3,,Hunt's disqualification is overturned. ,Hunt's disqualification was revoked.,22,0:58:06,0:58:28
60,2,,Hunt & Lauda give cocky interviews.,They were both arrogant.,35,0:58:28,0:59:03
61,3,,Lauda & Marlene wait to get married.,They married soon after meeting.,33,0:59:03,0:59:36
62,1,Character development,They have a basic ceremony. ,Lauda wasn't the flashy type.,23,0:59:36,0:59:59
63,3,,Cosy honeymoon montage. ,Lauda & Marlene were very close.,21,0:59:59,1:00:20
64,1,Character development,"Lauda broods, opens up to Marlene. ",Lauda keeps the private private.,70,1:00:20,1:01:30
65,3,,A driver is badly hurt at Germany. ,A driver was killed that day.,44,1:01:30,1:02:14
66,-1,Dramatic license,A fan asks Lauda for a dated autograph. ,No record of this.,23,1:02:14,1:02:37
