,truth_int,duration,start,end
0,3,300,0:01:16,0:06:16
1,0,286,0:06:16,0:11:02
2,3,194,0:11:02,0:13:34
3,3,149,0:13:34,0:16:03
4,3,271,0:16:03,0:20:34
5,3,216,0:20:34,0:24:10
6,2,222,0:24:10,0:27:52
7,3,187,0:27:52,0:30:59
8,0,279,0:30:59,0:35:38
9,3,375,0:35:38,0:41:53
10,3,203,0:41:53,0:45:16
11,3,178,0:45:16,0:48:14
12,3,207,0:48:14,0:51:41
13,3,236,0:51:41,0:55:37
14,3,171,0:55:37,0:58:28
15,3,112,0:58:28,1:00:20
16,1,158,1:00:20,1:02:58
17,3,421,1:02:58,1:09:59
18,3,227,1:09:59,1:14:28
19,3,205,1:14:28,1:17:53
20,0,235,1:17:53,1:23:59
21,3,462,1:23:59,1:29:30
22,3,211,1:29:30,1:33:01
23,3,335,1:33:01,1:38:36
24,3,341,1:38:36,1:44:17
25,3,203,1:44:17,1:47:40
26,1,335,1:47:40,1:53:15
