,truth_int,fiction type ,film_condensed,reality_condensed,duration,start,end
0,3,,King & wife Coretta prepare for Nobel Prizegiving.,King went to Oslo to get a Nobel Prize. ,133,0:00:52,0:03:05
1,3,,King presented with Nobel Prize.,King presented with Nobel Peace Prize.,39,0:03:05,0:03:44
2,3,,"A church explodes, children die. ","Ku Klux Klan bombed a church, killed 4 children. ",126,0:03:44,0:05:50
3,3,,"Cooper tries to register to vote, blocked by impossible test. ","Cooper attempted to register at least 5 times, blocked. ",180,0:05:50,0:08:50
4,2,character development,"President Johnson awaits King's visit, he's annoyed with King's impatience.","Controversy over Johnson's view of King, but they worked together.",28,0:08:50,0:09:18
5,2,character development,"King demands legislation to protect black right to vote, Johnson delays. ","Johnson promised to do it eventually, but not yet.",242,0:09:18,0:13:20
6,3,,King heads to Selma. ,King went to Selma. ,67,0:13:20,0:14:27
7,3,,SCLC leader Bevel greets King.,Bevel worked with King in Selma. ,30,0:14:27,0:14:57
8,3,,King is attacked by a white guy.,National States' Rights activist knocked King down. ,65,0:14:57,0:16:02
9,3,,FBI director Hoover suggests discrediting King via his family.,"Hoover went after King, taping his extramartial encounters. ",86,0:16:02,0:17:28
10,3,,Coretta gets a threatening phone call. ,The Kings received many such calls. ,163,0:17:28,0:20:11
11,3,,"Kings calls Mahalia Jackson, asks for a song. ",King was enamoured by Jackson's gospel voice.,129,0:20:11,0:22:20
12,3,,King & SCLC leaders arrive at Richie Jackson's place.,Richie Jackson's home became unofficial HQ for the Selma movement.,40,0:22:20,0:23:00
13,3,,Jackson feeds everyone. ,Richie Jackson's home became unofficial HQ for the Selma movement.,83,0:23:00,0:24:23
14,3,,The SNCC aren't happy that King has turned up.,Major tensions between the SNCC & SCLC.,83,0:24:23,0:25:46
15,3,,King incites local blacks to dem & their right to vote. ,King gave a speech encouraging action. ,175,0:25:46,0:28:41
16,-1,,A journalist challenges King on his non-violent approach.,We couldn't find a source for this.,27,0:28:41,0:29:08
17,3,,"SCLC leaders meet with SNCC leaders, discuss tactics.",The two groups agreed drama was needed. ,210,0:29:08,0:32:38
18,3,,Protesters march peacefully to the courthouse.,King led 100 protesters to the courthouse.,95,0:32:38,0:34:13
19,3,,The protesters kneel.,The protest was a peaceful sit-in. ,49,0:34:13,0:35:02
