,truth_int,duration,start,end
0,3,172,0:00:52,0:03:44
1,3,306,0:03:44,0:08:50
2,2,270,0:08:50,0:13:20
3,3,97,0:13:20,0:14:57
4,3,151,0:14:57,0:17:28
5,3,292,0:17:28,0:22:20
6,3,123,0:22:20,0:24:23
7,3,258,0:24:23,0:28:41
8,3,237,0:28:41,0:32:38
9,3,144,0:32:38,0:35:02
10,2,88,0:35:02,0:36:30
11,2,240,0:36:30,0:40:30
12,3,111,0:40:30,0:42:21
13,2,187,0:42:21,0:45:28
14,3,166,0:45:28,0:48:14
15,3,291,0:48:14,0:53:05
16,3,323,0:53:05,0:58:28
17,2,119,0:58:28,1:00:27
18,2,32,1:00:27,1:00:59
19,3,411,1:00:59,1:07:50
20,3,165,1:07:50,1:10:35
21,3,166,1:10:35,1:13:21
22,3,105,1:13:21,1:15:06
23,2,24,1:15:06,1:15:30
24,3,139,1:15:30,1:17:49
25,2,94,1:17:49,1:19:23
26,3,78,1:19:23,1:20:41
27,3,47,1:20:41,1:21:28
