,truth_int,fiction type ,film_condensed,reality_condensed,duration,start,end
0,2,,Father Geoghan is interviewed by police. ,Geoghan's known crimes were covered up.,62,0:00:38,0:01:40
1,2,,The Bishop persuades Geoghan's victim to keep quiet. ,Victims were persuaded to keep quiet. ,23,0:01:40,0:02:03
2,2,,Geoghan & the BISHOP leave together. ,Geoghan was protected by church higher-ups. ,30,0:02:03,0:02:33
3,2,Narrative cohesion,Spotlight editor Robinson gives a speech for a retiring reporter. ,The editor-in-chief spot opened up in 2001.,79,0:02:33,0:03:52
4,3,,Spotlight reporters discuss new editor Baron. ,Baron was hired in 2001. ,104,0:03:52,0:05:36
5,0,Dramatic license,"Baron meets Robinson, it's awkward. ",Baron & Robinson got along fine. ,141,0:05:36,0:07:57
6,3,,Deputy Editor Bradlee discusses Baron with Robinson.,Bradlee & Robinson worked closely together.,36,0:07:57,0:08:33
7,1,Dramatic license,Baron calls an editors' meeting. ,Baron held a meeting on his first day. ,33,0:08:33,0:09:06
8,3,,Reporter Rezendes asks why McNamara is in the meeting. ,McNamara wrote the piece that got Baron interested in the story. ,22,0:09:06,0:09:28
9,3,,Baron wants to sue for sealed documents re Geoghan's crimes.,Baron decided to sue the church for documents.,98,0:09:28,0:11:06
10,3,,Spotlight discuss Baron's proposal. ,Baron put the team on the Geoghan case.,45,0:11:06,0:11:51
11,3,,Baron asks Spotlight to take the story. ,Baron asked Spotlight to see what they could find on Geoghan. ,75,0:11:51,0:13:06
12,3,,They assign witnesses to talk to. ,Each team member had witnesses delegated to them. ,61,0:13:06,0:14:07
13,3,,Reporter Pfeiffer has dinner with her devout Catholic nana. ,Pfeiffer's grandmother was a serious Catholic. ,34,0:14:07,0:14:41
14,3,,Carroll asks for clips on the Geoghan case. ,The team looked at old clips. ,26,0:14:41,0:15:07
15,1,Character development,Baron gets lost in the Globe building. ,"Baron was an outsider, he could have gotten lost.",2,0:15:07,0:15:09
16,3,,Publisher Gilman approves Baron's plan. ,Gilman approved the suit. ,66,0:15:09,0:16:15
17,3,,Rezendes visits Lawyer Garabedian's office.,Garabedian represented most of the victims. ,38,0:16:15,0:16:53
18,3,,Pfeiffer & Robinson meet Lawyer Macleish. ,Spotlight did meet with Macleish. ,132,0:16:53,0:19:05
19,3,,Garabedian doesn't want to talk. ,Garabedian was suspicious of The Globe's motives. ,142,0:19:05,0:21:27
20,3,,Globe staff gather clips on Geoghan. ,Searching through old clips was part of the process. ,57,0:21:27,0:22:24
