,truth_int,duration,start,end
0,2,194,0:00:38,0:03:52
1,0,314,0:03:52,0:09:06
2,3,240,0:09:06,0:13:06
3,3,123,0:13:06,0:15:09
4,3,378,0:15:09,0:21:27
5,3,318,0:21:27,0:26:45
6,1,256,0:26:45,0:31:01
7,3,328,0:31:01,0:36:29
8,3,345,0:36:29,0:42:14
9,3,201,0:42:14,0:45:35
10,3,178,0:45:35,0:48:33
11,3,143,0:48:33,0:50:56
12,3,291,0:50:56,0:55:47
13,3,350,0:55:47,1:01:37
14,3,156,1:01:37,1:04:13
15,1,121,1:04:13,1:06:14
16,3,214,1:06:14,1:09:48
17,3,286,1:09:48,1:14:34
18,2,193,1:14:34,1:17:47
19,3,319,1:17:47,1:23:06
20,3,212,1:23:06,1:26:38
21,1,182,1:26:38,1:29:40
22,2,196,1:29:40,1:32:56
23,3,172,1:32:56,1:35:48
24,3,262,1:35:48,1:40:10
25,3,338,1:40:10,1:45:48
26,1,286,1:45:48,1:50:34
27,2,254,1:50:34,1:54:48
