,truth_int,duration,start,end
0,3,149,0:00:49,0:03:18
1,3,270,0:03:18,0:07:48
2,3,359,0:07:48,0:13:47
3,3,312,0:13:47,0:18:59
4,3,327,0:18:59,0:24:26
5,3,578,0:24:26,0:34:04
6,3,329,0:34:04,0:39:33
7,3,369,0:39:33,0:45:42
8,3,538,0:45:42,0:54:40
9,3,376,0:54:40,1:00:56
10,3,394,1:00:56,1:07:30
11,3,427,1:07:30,1:14:37
12,2,281,1:14:37,1:19:18
13,3,302,1:19:18,1:24:20
14,3,435,1:24:20,1:31:35
15,3,223,1:31:35,1:35:18
16,3,160,1:35:18,1:37:58
17,3,342,1:37:58,1:43:40
18,3,260,1:43:40,1:48:00
19,3,313,1:48:00,1:53:13
20,3,294,1:53:13,1:58:07
21,3,214,1:58:07,2:01:41
22,3,99,2:01:41,2:03:20
23,3,20,2:03:20,2:03:40
