,truth_int,fiction type ,film_condensed,reality_condensed,duration,start,end
0,3,,Turing in police interview room. ,Turing was interviewed by police.,33,0:00:48,0:01:21
1,3,,Police explore his smashed-up flat.,Turing was burgled.,39,0:01:21,0:02:00
2,-1,,Menzies hears news of a crime against Turing.,We don't know if MI6 monitored Turing. ,42,0:02:00,0:02:42
3,2,,Nock investigates the crime scene. ,Nock didn't exist. ,46,0:02:42,0:03:28
4,1,,Nock questions Turing. ,The police did interview Turing.,77,0:03:28,0:04:45
5,2,,Nock and constable discuss Turing.,It's likely. ,26,0:04:45,0:05:11
6,3,,Turing walks through child evacuation scene. ,Turing travelled during the evacuation.,148,0:05:11,0:07:39
7,0,,Denniston interviews Turing. ,Denniston didn't interview him.,14,0:07:39,0:07:53
8,0,,Turing appears not to have a sense of humour. ,Turing was known for his wit & tomfoolery.,12,0:07:53,0:08:05
9,0,,Denniston is a militaristic ball-breaker.,Denniston was supportive.,23,0:08:05,0:08:28
10,3,,Turing is depicted as a prodigy.,Turing was exceptionally clever.,26,0:08:28,0:08:54
11,1,,Denniston and Turing don't get on. ,No evidence of any strong dislike. ,36,0:08:54,0:09:30
12,0,,Denniston turns Turing down. ,Denniston never interviews Turing. ,61,0:09:30,0:10:31
13,1,,Turing says he speaks no German. ,He learnt German at school but wasn't great at it. ,1,0:10:31,0:10:32
14,1,,Turing reveals he knows about Enigma.,The Bletchley Park work was top secret.,52,0:10:32,0:11:24
15,1,,Denniston says Enigma is unbreakable.,Polish & French intelligence had already broken Enigma codes.,16,0:11:24,0:11:40
16,2,,The team survey the Enigma Machine,Seems likely. ,5,0:11:40,0:11:45
17,0,,The team include Cairncross. ,Cairncross never worked on Enigma.,2,0:11:45,0:11:47
18,3,,Denniston explains how it works. ,Denniston was super experienced.,31,0:11:47,0:12:18
19,1,,Polish intelligence smuggled Enigma out. ,Polish intelligence didn't steal an Enigma machine. ,16,0:12:18,0:12:34
20,-1,,Denniston explains the problem - codes changed daily. ,More complicated than that. ,24,0:12:34,0:12:58
21,2,,They spar over the number of code combinations.,Many billions were possible. ,35,0:12:58,0:13:33
22,2,resource bend ,They are to work as a team of five.,A small group of four worked together.,15,0:13:33,0:13:48
23,0,,Menzies makes a few comments. ,No record of Menzies being there. ,56,0:13:48,0:14:44
24,2,,"""20 million years worth of settings in 20 mins""","It would have taken a very, very long time to check all those settings. ",127,0:14:44,0:16:51
25,1,,Turing comes over as lone genius.,"Turing was eccentric, but friendly. ",64,0:16:51,0:17:55
26,0,,Tensions over letter frequency analysis method.,Letter frequency analysis was known to be worthless.,21,0:17:55,0:18:16
27,2,,Turing designs a machine. ,He adapted an existing design. ,53,0:18:16,0:19:09
28,3,,Turing running.,Turing was a runner. ,22,0:19:09,0:19:31
29,3,,Making a machine montage.,The English developed the Enigma machine.,50,0:19:31,0:20:21
30,0,,Nock discovers Turing's records are classified.,They didn't dig into Turing's war records. ,36,0:20:21,0:20:57
31,0,,Nock uses a fake letter to request Turing's records.,Not possible. ,15,0:20:57,0:21:12
32,0,,Denniston tells Turing his teammates have made complaints.,His team didn't make complaints against him.,42,0:21:12,0:21:54
33,2,,Turing argues only a machine can beat Enigma.,"True, but Turing not the first to realise it.",45,0:21:54,0:22:39
34,1,,Denniston gives Turing a dressing down.,No such confrontation. ,30,0:22:39,0:23:09
35,2,,Turing hands Menzies a letter for Churchhill. ,Turing wrote to Churchill. ,14,0:23:09,0:23:23
36,1,,Churchill has put Turing in charge.,He didn't put Turing in charge but did reply to his letter.,50,0:23:23,0:24:13
37,2,,Menzies mocks Turing for his unpopularity.,Turing wasn't popular at school. ,6,0:24:13,0:24:19
38,3,,"Flashback to Turing's school, Sherbourne.",Turing attended Sherborne school.,7,0:24:19,0:24:26
39,0,,Turing displays OCD symptoms. ,There's no evidence that Turing suffered from OCD.,14,0:24:26,0:24:40
40,2,,A boy tips food over Turing's head.,Bullying was common at Sherbourne.,10,0:24:40,0:24:50
41,3,,Turing trapped under the floorboards.,Schoolboys did trap him under the floorboards.,60,0:24:50,0:25:50
42,1,,Christopher frees him. ,"He didn't free him, but they were friends.",36,0:25:50,0:26:26
43,2,,Turing proposes a crossword competition to recruit. ,There was such a competition. ,28,0:26:26,0:26:54
44,-1,,Montage of people working on the crossword.,There was such a competition. ,27,0:26:54,0:27:21
45,3,,People shelter in the undergroud during London bombings.,People did use the underground as a bomb shelter.,60,0:27:21,0:28:21
46,3,,Aftermath of bombings.,London was repeatedly bombed.,40,0:28:21,0:29:01
47,-1,,Turing briefs the potential crossword recruits.,"There was such a competition, not organised by Turing.",33,0:29:01,0:29:34
48,0,,"Joan arrives, startling Turing.",Joan was poached from Cambridge.,7,0:29:34,0:29:41
49,2,,"Joan is told to leave, she protests.",Sexism was rife at the time. ,62,0:29:41,0:30:43
50,-1,,Turing invigilates a timed task.,There was a recruitment drive of this sort.,53,0:30:43,0:31:36
51,0,,Joan beats Turing's time.,No evidence of how her talents compared with Turing's.,27,0:31:36,0:32:03
52,2,,Menzies tells recruits they'll be executed if they leak info.,The sentence for treason was death.,25,0:32:03,0:32:28
53,1,,Christopher explains cryptography to Turing.,A different friend introduced Turing to cryptography.,77,0:32:28,0:33:45
54,3,,Turing wrestles with his crush on Christopher.,Turing did have a crush on Christopher Morcom at school.,16,0:33:45,0:34:01
55,0,,Turing builds his computer at Bletchley.,"The machine wasn't build by him, or at Bletchley.",39,0:34:01,0:34:40
