,truth_int,duration,start,end
0,1,237,0:00:48,0:04:45
1,3,223,0:04:45,0:08:28
2,1,176,0:08:28,0:11:24
3,1,70,0:11:24,0:12:34
4,2,257,0:12:34,0:16:51
5,3,210,0:16:51,0:20:21
6,0,168,0:20:21,0:23:09
7,1,91,0:23:09,0:24:40
8,3,161,0:24:40,0:27:21
9,3,202,0:27:21,0:30:43
10,1,198,0:30:43,0:34:01
11,0,179,0:34:01,0:37:00
12,0,166,0:37:00,0:39:46
13,0,302,0:39:46,0:44:48
14,0,150,0:44:48,0:47:18
15,0,317,0:47:18,0:52:35
16,0,293,0:52:35,0:57:28
17,2,162,0:57:28,1:00:10
18,0,297,1:00:10,1:05:07
19,0,557,1:05:07,1:14:24
20,1,551,1:14:24,1:23:35
21,0,156,1:23:35,1:26:11
22,0,113,1:26:11,1:28:04
23,0,179,1:28:04,1:31:03
24,0,131,1:31:03,1:33:14
25,0,151,1:33:14,1:35:45
26,1,365,1:35:45,1:41:50
27,3,114,1:41:50,1:43:44
