,truth_int,duration,start,end
0,-1,90,0:00:25,0:01:55
1,-1,209,0:01:55,0:05:24
2,-1,174,0:05:24,0:08:18
3,-1,306,0:08:18,0:13:24
4,-1,300,0:13:24,0:18:24
5,-1,653,0:18:24,0:29:17
6,-1,308,0:29:17,0:34:25
7,-1,325,0:34:25,0:39:50
8,-1,228,0:39:50,0:43:38
9,-1,217,0:43:38,0:47:15
10,-1,640,0:47:15,0:57:55
11,-1,278,0:57:55,1:02:33
12,-1,330,1:02:33,1:08:03
13,-1,330,1:08:03,1:13:33
14,-1,193,1:13:33,1:16:46
15,-1,279,1:16:46,1:21:25
16,-1,330,1:21:25,1:27:27
17,-1,249,1:23:03,1:31:04
18,-1,213,1:31:52,1:34:37
19,-1,240,1:34:37,1:38:37
20,-1,546,1:38:37,1:47:43
21,-1,135,1:47:43,1:49:58
22,-1,127,1:49:58,1:52:05
