,truth_int,duration,start,end
0,0,450,0:00:21,0:07:51
1,3,129,0:07:51,0:10:00
2,3,182,0:10:00,0:13:02
3,3,128,0:13:02,0:15:10
4,0,215,0:15:10,0:18:45
5,0,165,0:18:45,0:21:30
6,3,309,0:21:30,0:26:39
7,3,97,0:26:39,0:28:16
8,-1,121,0:28:16,0:30:17
9,3,207,0:30:17,0:33:44
10,3,181,0:33:44,0:36:45
11,3,427,0:36:45,0:43:52
12,3,303,0:43:52,0:48:55
13,1,337,0:48:55,0:54:32
14,3,572,0:54:32,1:04:04
15,3,131,1:04:04,1:06:15
16,3,73,1:06:15,1:07:28
17,3,72,1:07:28,1:08:40
18,3,140,1:08:40,1:11:00
19,-1,120,1:11:00,1:13:00
20,2,75,1:13:00,1:14:15
21,3,329,1:14:15,1:19:44
22,3,594,1:19:44,1:29:38
23,3,289,1:29:38,1:34:27
24,3,283,1:34:27,1:39:10
25,3,239,1:39:10,1:43:09
26,0,281,1:43:09,1:47:50
27,3,207,1:47:50,1:51:17
