,truth_int,fiction type ,film_condensed,reality_condensed,duration,start,end
0,1,Dramatic license,Stratton Oakmont on Wall St.,"Stratton Oakmont based in Long Island, not Wall Street.",34,0:00:41,0:01:15
1,0,Dramatic license,"Inside, rowdy men throw little people at a target board.",Hired little people for entertainment. ,23,0:01:15,0:01:38
2,3,,"Belfort, cocky, boasts of his lavish lifestyle.",Belfort enjoyed a depraved high life. ,93,0:01:38,0:03:11
3,3,,A wasted Belfort badly lands a copter.,A wasted Belfort tried to fly his own helicopter.,40,0:03:11,0:03:51
4,3,,Belfort boasts of his massive drug habit.,Belfort had a major drug habit.,83,0:03:51,0:05:14
5,3,,Young Belfort looks intimidated by Wall St.,A rare glimpse at Belfort's insecurities. ,29,0:05:14,0:05:43
6,3,,"Belfort told he is ""lower than pond scum"".",& he agreed. ,36,0:05:43,0:06:19
7,3,,His new boss Hanna is impressed by him.,Hanna appreciated Belfort's initiative. ,38,0:06:19,0:06:57
8,3,,Belfort starts making calls.,Belfort started on Wall Street in 1987. ,59,0:06:57,0:07:56
9,3,,Hanna explains the dirty business to him.,Hanna told Belfort that brokers never stop 'churning & burning'. ,194,0:07:56,0:11:10
10,3,,Hanna tells him to jerk off as much as possible.,Hanna asserted Belfort must masturbate & get high to survive.,125,0:11:10,0:13:15
11,0,Dramatic license. ,Hanna starts pounding his chest.,McConaughey's acting exercise was incorporated into the scene. ,40,0:13:15,0:13:55
12,2,Dramatic license. ,Belfort at a strip club.,Belfort loved strippers. ,22,0:13:55,0:14:17
13,,,Belfort now a broker. Seems confident.,Belfort got his broker's license in 1987. ,20,0:14:17,0:14:37
14,,,Belfort panicking as Black Wednesday kicks in.,"Black Wednesday, 1987. ",71,0:14:37,0:15:48
15,2,Story coherence.,"Belfort, unemployed, looking for jobs.",His first wife supported him through unemployment.,69,0:15:48,0:16:57
16,,,Belfort joins a low-key shabby 'Investor's Centre',Belfort's second job in the industry. ,173,0:16:57,0:19:50
17,2,,Office is amazed by his selling ability.,He was really good at it. ,123,0:19:50,0:21:53
18,0,Story coherence/dramatic license.,Azoff introduces himself to Belfort. Quits his job instantly.,Azoff's wife introduced him to Belfort.  ,117,0:21:53,0:23:50
19,,,They smoke crack. Azoff married his cousin.,Azoff married his cousin. ,218,0:23:50,0:27:28
20,,,Belfort starts his own firm.,Belfort set up his company in an old car dealership. ,199,0:27:28,0:30:47
21,-1,Story coherence. ,Belfort's wife is concerned about the ethics of his work.,Not in the book. ,61,0:30:47,0:31:48
22,3,,Belfort wants to sell to the rich.,Belfort manipulated the wealthy into investing in rubbish. ,20,0:31:48,0:32:08
23,3,,Belfort trains his staff to sell.,Belfort's script seriously worked. ,245,0:32:08,0:36:13
24,3,,It becomes a successful company.,Stratton Oakmont was wildly succesful. ,55,0:36:13,0:37:08
25,3,,Office party. A woman shaves her head for $10K.,A head was shaved for $10k.,156,0:37:08,0:39:44
26,3,,FBI agent Denham builds a case against Belfort.,Coleman hunted Belfort for years.,13,0:39:44,0:39:57
27,,,Forbes do an article on Belfort.,Forbes did an article on Belfort in 1991. ,23,0:39:57,0:40:20
