,truth_int,duration,start,end
0,3,273,0:00:41,0:05:14
1,3,356,0:05:14,0:11:10
2,3,278,0:11:10,0:15:48
3,2,700,0:15:48,0:27:28
4,3,580,0:27:28,0:37:08
5,3,258,0:37:08,0:41:26
6,3,137,0:41:26,0:43:43
7,2,699,0:43:43,0:55:22
8,2,588,0:55:22,1:05:10
9,3,139,1:05:10,1:07:29
10,3,318,1:07:29,1:12:47
11,3,285,1:12:47,1:17:32
12,3,1225,1:17:32,1:37:57
13,3,218,1:37:57,1:41:35
14,0,261,1:41:35,1:45:56
15,0,338,1:45:56,1:51:34
16,1,242,1:51:34,1:55:36
17,3,431,1:55:36,2:02:47
18,1,271,2:02:47,2:07:18
19,3,112,2:07:18,2:09:10
20,1,573,2:09:10,2:18:43
21,3,540,2:18:43,2:27:43
22,1,185,2:27:43,2:30:48
23,3,110,2:30:48,2:32:38
24,3,701,2:32:38,2:44:19
25,1,182,2:44:19,2:47:21
26,2,167,2:47:21,2:50:08
27,3,176,2:50:08,2:53:04
