start,truth int,fiction type ,film condensed,reality condensed,duration
00:00:48,2,character development,Ron has a threesome at a rodeo. ,"Ron had a lot of sex, no bullriding. ",63
00:01:51,3,,He & the guys talk about Rock Hudson being gay.,Rock Hudson was gay.,51
00:02:42,1,dramatic license,"TJ prepares to ride a bull, Ron encourages him. ",TJ was fictional. ,73
00:03:55,1,dramatic license,The bull ditches TJ straight away.,TJ was fictional. ,18
00:04:13,0,character development,"Gamblers chase Ron, who punches officer Tucker to get arrested.",Tucker was fictional.,43
00:04:56,0,character development,Tucker drops Ron at the trailer park. ,Tucker was fictional.,47
00:05:43,0,character development,"Ron stumbles, Tucker is worried. ",Tucker was fictional.,16
00:05:59,-1,,"Ron's ears ring, he passes out. ",His residences aren't public knowledge. ,21
00:06:20,3,,"He wakes up, weak & coughing. ",Was was emaciated.,23
00:06:43,-1,,He sells cocaine at work on the oil rig.,Not public knowledge.,48
00:07:31,3,,The boss calls him over to deal with an injury. ,Ron was an electrician.,3
00:07:34,-1,,"Ron flicks a switch, gets electrocuted. ",Not public knowledge.,42
00:08:16,-1,,He wakes up in hospital.,Not public knowledge.,26
00:08:42,3,,Dr. Saks (Eve) & Dr. Sevard tell Ron he's HIV+.,Ron was diagnosed 1986.,58
00:09:40,1,character development,"He's angry, in denial. ",Ron's sexuality/homophobia is contested. ,133
00:11:53,-1,,He hangs back from partying with TJ. ,Not public knowledge.,98
00:13:31,-1,,He tells TJ about the diagnosis. ,Not public knowledge.,84
00:14:55,-1,,"TJ leaves with 2 women, Ron stays. ",Not public knowledge.,34
00:15:29,-1,,He looks scared. ,Not public knowledge.,12
00:15:41,3,,He researches HIV/AIDS at the library. ,Ron was a dedicated researcher. ,10
00:15:51,3,,A drugs rep pitches AZT to hospital staff. ,AZT was rushed to approval. ,88
00:17:19,2,character development,Eve is concerned about AZT's safety. ,Eve was fictional. ,21
00:17:40,3,,Ron learns HIV is sexually & intravenously transmitted. ,Ron was a dedicated researcher. ,33
00:18:13,3,,Flashback to Ron having unprotected sex with an addict. ,Ron contracted HIV from a user. ,18
00:18:31,-1,,"He hits the desk, screams. ",Not public knowledge.,11
00:18:42,3,,At the hospital he demands to see Sevard. ,Ron was severely ill. ,28
00:19:10,1,character development,"Eve turns up, offers her help. ",Ron would deal with one doctor. ,35
00:19:45,-1,,Ron clocks a janitor looking at him.,Not public knowledge.,8
00:19:53,2,dramatic license,Ron begs Eve for AZT. She says no. ,"Ron was denied AZT, sued for it. ",147
00:22:20,2,,"At the bar, Ron's friends reject him.",Ron's friends turned on him.,85
00:23:45,2,,The guys are disgusted that he touched them. ,People were ignorant about transmission.,7
00:23:52,2,character development,"Ron enters a support meeting, walks straight out.",Ron's sexuality/homophobia is contested. ,64
00:24:56,3,,He prays for more time. ,Ron wanted more time.,46
00:25:42,1,dramatic license,He approaches the janitor at a strip club.,Ron got AZT legally. ,47
00:26:29,0,dramatic license,"Hospital carpark, janitor drops a package for Ron.",Ron got AZT legally. ,23
00:26:52,2,,It's AZT. Ron swallows a few pills. ,Ron took AZT.,41
00:27:33,3,,His colleagues refuse him entry at work. ,Ron's friends turned on him.,37
00:28:10,2,character development,Montage - Ron unravels...,Ron led a colourful life.,50
00:29:00,2,dramatic license,janitor says no more AZT. Ron passes out.,"Ron passed out, woke up in hospital.",44
00:29:44,0,dramatic license,Ron wakes in hospital. Sevard questions the AZT in his system. ,Ron got AZT legally. ,73
00:30:57,0,character development,"HIV patient Rayon, a trans woman, walks over.",Rayon was fictional.,74
00:32:11,0,character development,Rayon & Ron play cards.,Rayon was fictional.,26
00:32:37,0,character development,"Ron's leg cramps, Rayon squeezes it. ",Rayon was fictional.,42
00:33:19,0,character development,"Rayon compliments Ron's feet, he pulls away. ",Rayon was fictional.,23
00:33:42,2,character development,"Rayon explains she's in the AZT trial, Ron wants in. ",People on AZT trials pooled their meds. ,65
00:34:47,3,,"He walks out, on a mission. ",Ron wouldn't give in to AIDS.,29
00:35:16,2,dramatic license,He gets home to find his trailer vandalised. ,Ron's friends turned on him.,47
00:36:03,-1,,He searches for his stashed cash. ,Not public knowledge.,36
00:36:39,-1,,He drives away with his cash & a painting. ,Not public knowledge.,18
00:36:57,-1,,He breaks down weeping. ,Not public knowledge.,78
00:38:15,2,narrative cohesion,"He drives to a hospital the janitor spoke of, in Mexico. ",Ron met a doctor in Mexico. ,20
00:38:35,3,,"Ron asks Dr. Vass for AZT, he refuses. ",Ron met a doctor in Mexico. ,33
00:39:08,3,,Vass puts him on a regimen of healthy supplements.,Ron ate healthily. ,69
00:40:17,0,character development,"Eve treats Rayon, they are friends. ",Rayon & Eve were fictional.,76
00:41:33,3,,"Ron's looking good, suggests Vass sells his vitamin cocktail. ",Ron had dealings with Mexican doctors. ,87
00:43:00,3,,Ron makes plans to smuggle Vass' drugs. ,Ron packed his Lincoln with drugs.,58
00:43:58,3,,Ron tries to cross the border dressed as a priest. ,Ron dressed up for customs. ,41
00:44:39,3,,Barkley of FDA questions him at customs. ,A 90-day supply was allowed.,114
00:46:33,-1,,"Ron tries to sell to gay guys, unsuccessful. ",Not public knowledge.,48
00:47:21,3,,FDA end AZT trial early. Eve worried. ,AZT hit the market in record time.,23
00:47:44,3,,Sevard dismisses Eve's concerns. ,Many doctors were concerned.,31
00:48:15,0,character development,"Rayon teases Ron, says she can get him clients. ",Rayon was fictional.,69
00:49:24,0,character development,They cut a deal. ,Rayon was fictional.,65
00:50:29,0,character development,Sales are great. ,Rayon was fictional.,13
00:50:42,1,character development,They sell in a gay club. ,Ron worked with the gay community. ,67
00:51:49,3,,"Ron back in the library, researching. ",Ron was a dedicated researcher. ,16
00:52:05,2,,He & Rayon pull into an apartment complex. ,Ron worked out of an office.,18
00:52:23,2,,"They enter a run-down apartment, their new 'office'.",Ron worked out of an office.,17
00:52:40,3,,They've set up a buyers club.,Ron set up a buyers club. ,61
00:53:41,3,,AZT approved by the FDA. ,AZT was approved in record time.,0
00:53:41,2,character development,"Ron & Rayon look better, business is good. ","The club was succesful, Ron grew stronger.",119
00:55:40,0,dramatic license,Eve asks after Rayon in the hospital.,Eve was fictional. ,16
00:55:56,3,,Ron orders InterfeRon from Japan. ,Ron went to Japan.,21
00:56:17,2,dramatic license,Eve finds Rayon's files in Ron's office. ,Eve was fictional. ,50
00:57:07,2,character development,Ron & Rayon shop for healthfood. ,Ron ate healthily. ,41
00:57:48,0,character development,"They bump into TJ, he insults Rayon, Ron attacks him. ",Rayon & TJ were fictional.,104
00:59:32,3,,Men queue outside the office for membership.,Ron had 4000 customers.,12
00:59:44,-1,,"A guy wants to join for $50. Ron says no, it's $400.",Not public knowledge.,27
01:00:11,2,character development,Ron prepares to go overseas. Rayon is high. ,Ron had a trusted secretary.,77
01:01:28,3,,Ron pulls up in Tokyo.,Ron imported from Japan. ,11
01:01:39,3,,"Yamata won't sell him InterfeRon, only doctors can buy it. ",Ron bribed a worker to show him the accounts.,67
01:02:46,3,,Ron bribes a doctor to order it. ,Ron bribed a doctor to order Interferon.,33
01:03:19,3,,Ron dresses up for customs.,Ron dressed up to get through customs. ,19
