start,truth int,fiction type ,film condensed,reality condensed,duration
00:00:42,3,,Young Katherine recites prime numbers. ,She loved numbers from childhood. ,20
00:01:02,3,,"Katherine gets into the WVCI, skipping 2 grades.","She won a spot at WVCI, jumping from 6th to 8th grade.",29
00:01:31,3,,Katherine wows the classroom with her skills.,She was top of her class. ,63
00:02:34,3,,Katherine's parents collect her from school.,Her parents supported her education in every way.,23
00:02:57,0,,"Katherine, Mary & Dorothy fix their broken-down car on the way to work. ",They didn't commute together. ,64
00:04:01,0,,The women get pulled by a police officer.,"Didn't happen, but wouldn't have been unusual. ",143
00:06:24,0,,Mary tailgates the officer all the way to Langley.,Didn't happen. ,47
00:07:11,3,,The Russians launch Sputnik.,It launched in 1957.,52
00:08:03,3,,Sputnik manages its first orbit. ,"It eventually completed several, although earlier on. ",13
00:08:16,3,,NASA director is furious the Russians are winning. ,Everybody feared what would happen if the US didn't catch up. ,69
00:09:25,3,,Harrison awaits the IBM. ,Langley got its first IBM machines in the mid-1950s.,54
00:10:19,3,,Dorothy recommends Katherine for the Space Task Group.,"She did, but much earlier when it was still the Flight Research Division. ",104
00:12:03,3,,Dorothy chases the supervisor position. ,She had to wait two years to get it. ,52
00:12:55,3,,Mary works on the Mach 1 tunnel tests.,She was offered the job by Czarnecki. ,24
00:13:19,1,,Mary's shoe gets stuck in the vent. ,Didn't happen. ,28
00:13:47,2,,Zielinski encourages Mary to join the engineer training program.,Her boss did support her application for the program. ,122
00:15:49,3,,Katherine joins the Space Task Group as the first & only black woman. ,She was chosen for her mathematical brilliance. ,50
00:16:39,2,,The office is full of white men - she really stands out.,"There were a few women actually, but Katherine was the only black woman. ",65
00:17:44,1,,Stafford resents a black woman checking his work. ,Katherine never experienced racist attitudes at Langley.,90
00:19:14,3,,Mercury 7 are due to arrive for training. ,The 7 set up at NASA HQ to train & prepare for their missions. ,65
00:20:19,-1,,Katherine is asked to check redacted reports. ,We couldn't find sources for this. ,45
00:21:04,2,,Katherine sets out to find the black bathrooms.,Katherine never used the black bathrooms. ,38
00:21:42,2,,Katherine runs the half mile to the black bathrooms. ,Katherine never used the black bathrooms. ,111
00:23:33,0,,Katherine gets yelled out for taking so long in the bathroom.,Katherine never used the black bathrooms. ,17
00:23:50,1,,"Katherine grabs a coffee from the dispenser, it doesn't go down well. ",This isn't in the book.,57
00:24:47,1,,Harrison & Katherine stay late & talk.,She didn't work that closely with the directors. ,116
