start,truth int,fiction type ,film condensed,reality condensed,duration
00:00:41,3,,"Shots of India, where the story begins. ","This really is India, so we're off to a good start. ",109
00:02:30,2,,A little boy is transfixed by a flight of butterflies. ,"The landscape is convincing, the butterflies less so. ",22
00:02:52,3,,Someone appears nearby & shouts Saroo's name.,This is perfectly plausible. ,11
00:03:03,1,,The brothers steal coal from a moving train. ,"Probably not, but they got up to similar scrapes. ",27
00:03:30,1,,A guard spots & pursues the brothers. It is 1986. ,Not likely that this happened. Certainly not today. ,34
00:04:04,2,,They swap their stolen coal for milk. ,"It didn't happen, but it could have. (But didn't.)",50
00:04:54,0,,The brothers fantasise about jalebis. ,"No, this is totally made up. ",22
00:05:16,1,,They present the milk to their mother. ,There was no milk on this particular evening. ,31
00:05:47,1,,They drink the milk together. ,They had no milk to drink. ,39
00:06:26,3,,His mum asks Saroo to look after Shekila. ,Saroo often had to care for his sister. ,15
00:06:41,3,,Guddu gets ready to leave. Saroo asks to accompany him. ,Guddu was about to leave when Saroo asked to go too.,31
00:07:12,1,,Guddu refuses to allow Saroo to go with him. ,Guddu didn't refuse. He accepted. ,11
00:07:23,0,,Saroo convinces Guddu to let him go with him. ,Guddu had already accepted. ,35
00:07:58,3,,Guddu takes Saroo into town on a bike.,Guddu did give Saroo a lift into town. ,15
00:08:13,3,,They board a train. ,The did indeed board a train. ,3
00:08:16,2,,They search around for anything of value. ,Saroo doesn't mention this in the book.,13
00:08:29,3,,They sit together & Saroo falls asleep. ,"Pretty much, minus the coin. ",20
00:08:49,3,,"At the station, Saroo sleeps on a bench. ",Saroo did continue to sleep on the platform bench. ,41
00:09:30,3,,Guddu leaves Saroo & goes to look for work. ,Guddu did leave Saroo to go & do some things. ,37
00:10:07,3,,"Saroo wakes up, calls his brother's name & boards the train. ",Saroo woke up & got on the train. ,71
00:11:18,2,,Saroo looks for Guddu before falling asleep. ,Saroo went straight back to sleep. ,24
00:11:42,3,,Saroo wakes up on a moving train & is scared. ,He woke up & was soon in a panic. ,67
00:12:49,3,,Saroo is upset as the train takes him further away.,Saroo curled up in a ball & cried. Poor mite.,38
00:13:27,2,,"At night, Saroo speaks to his family. ","He didn't mention this, but he's only human. ",14
00:13:41,1,,The train stops & Saroo speaks to a young girl. ,There was no young girl — nobody saw him. ,47
00:14:28,2,,"Nighttime, a storm, Saroo eats an apple core. ","Not mentioned in the book, but he probably ate something.",27
00:14:55,3,,He arrives in Calcutta — lots of people. ,He arrived in Calcutta & there certainly were lots of people ,41
00:15:36,2,,He leaves the train & looks for help. ,He did spend some time asking for help. ,83
00:16:59,0,,Saroo queues up for help but is thwarted. ,He never queued up for a ticket. ,50
00:17:49,2,,He follows a little girl & finds more street kids. ,He saw them a lot over a longer period. ,42
00:18:31,0,,A little boy offers him cardboard to sleep on. ,Saroo tells of no such moment. ,64
00:19:35,3,,Bad men grab the street kids. ,"Horribly, yes. This was the case. ",15
00:19:50,2,,He meets the little girl & runs with her. ,He ran off alone. ,33
00:20:23,1,,He runs through a metal gate. ,He jumped onto the train tracks. ,22
00:20:45,2,,He is almost hit by a bus. ,Almost. It was a train. ,11
00:20:56,2,,Saroo finds a temple. ,"He found holy men, & then a temple another time.",53
00:21:49,2,,Saroo eats some of the offerings. ,"He did, but not yet. ",37
00:22:26,2,,Saroo wakes to noisy devotions.,He woke to meditation. ,23
00:22:49,3,,Saroo sees the river & associated hubbub. ,"He did, yes, also the night before. ",28
00:23:17,0,,Saroo returns for his cardboard.,The cardboard scene wasn't real. ,10
00:23:27,3,,"Saroo wanders about, looks at train tracks. ",He did frequently gravitate towards the tracks. ,34
00:24:01,2,,Saroo meets a woman named Noor on the train tracks. ,Saroo met a male railway worker on the tracks. ,49
00:24:50,1,,Noor takes Saroo to her apartment. ,The railway worker took Saroo to his shack. ,21
00:25:11,1,,Noor feeds Saroo at her apartment. ,The railway worker fed Saroo in his shack. ,35
00:25:46,0,,Noor & Saroo share a soft drink.,No. None of this happened. ,44
00:26:30,,,Noor washes Saroo. ,Noor wasn't real. ,15
00:26:45,2,,Noor tells Saroo a man will come to help him. ,The railway man said something similar. ,43
00:27:28,3,,"Rama arrives, makes promises, acts creepy. ",A man did arrive & act in a creepy manner. ,109
00:29:17,1,,Noor tells Saroo to thank Rama. ,This is an embellishment. ,19
00:29:36,,,Noor notices Saroo is a little subdued. ,All of this scene is totally made up. ,46
00:30:22,2,,"When Noor is distracted, Saroo bolts. ","He did run away, but not from Noor. ",17
