start,truth int,fiction type ,film condensed,reality condensed,duration
00:00:38,2,,Father Geoghan is interviewed by police. ,Geoghan's known crimes were covered up.,62
00:01:40,2,,The Bishop persuades Geoghan's victim to keep quiet. ,Victims were persuaded to keep quiet. ,23
00:02:03,2,,Geoghan & the BISHOP leave together. ,Geoghan was protected by church higher-ups. ,30
00:02:33,2,Narrative cohesion,Spotlight editor Robinson gives a speech for a retiring reporter. ,The editor-in-chief spot opened up in 2001.,79
00:03:52,3,,Spotlight reporters discuss new editor Baron. ,Baron was hired in 2001. ,104
00:05:36,0,Dramatic license,"Baron meets Robinson, it's awkward. ",Baron & Robinson got along fine. ,141
00:07:57,3,,Deputy Editor Bradlee discusses Baron with Robinson.,Bradlee & Robinson worked closely together.,36
00:08:33,1,Dramatic license,Baron calls an editors' meeting. ,Baron held a meeting on his first day. ,33
00:09:06,3,,Reporter Rezendes asks why McNamara is in the meeting. ,McNamara wrote the piece that got Baron interested in the story. ,22
00:09:28,3,,Baron wants to sue for sealed documents re Geoghan's crimes.,Baron decided to sue the church for documents.,98
00:11:06,3,,Spotlight discuss Baron's proposal. ,Baron put the team on the Geoghan case.,45
00:11:51,3,,Baron asks Spotlight to take the story. ,Baron asked Spotlight to see what they could find on Geoghan. ,75
00:13:06,3,,They assign witnesses to talk to. ,Each team member had witnesses delegated to them. ,61
00:14:07,3,,Reporter Pfeiffer has dinner with her devout Catholic nana. ,Pfeiffer's grandmother was a serious Catholic. ,34
00:14:41,3,,Carroll asks for clips on the Geoghan case. ,The team looked at old clips. ,26
00:15:07,1,Character development,Baron gets lost in the Globe building. ,"Baron was an outsider, he could have gotten lost.",2
00:15:09,3,,Publisher Gilman approves Baron's plan. ,Gilman approved the suit. ,66
00:16:15,3,,Rezendes visits Lawyer Garabedian's office.,Garabedian represented most of the victims. ,38
00:16:53,3,,Pfeiffer & Robinson meet Lawyer Macleish. ,Spotlight did meet with Macleish. ,132
00:19:05,3,,Garabedian doesn't want to talk. ,Garabedian was suspicious of The Globe's motives. ,142
00:21:27,3,,Globe staff gather clips on Geoghan. ,Searching through old clips was part of the process. ,57
00:22:24,0,,"Spotlight discuss SNAP, a victims' group. ",SNAP helped Spotlight find victims. ,72
00:23:36,3,,Bradlee threatens to take Rezendes off the story if he doesn't get evidence.,Bradlee was a bulldog. ,89
00:25:05,1,Dramatic license,Robinson asks Lawyer Sullivan for information. ,Sullivan was a composite character.,100
00:26:45,3,,Montage - the team go about their lives.,The filmmakers were after authenticity. ,36
00:27:21,3,,"Bradlee suggests dropping the story, the team refuse. ",The team went ahead with the story. ,84
00:28:45,1,Dramatic license,Baron visits Cardinal Law. ,Baron visited Law. ,121
00:30:46,2,Dramatic license,Baron unwraps a gift - a copy of the catechism.,Law gave Baron a copy of the catechism.,15
00:31:01,3,,SNAP founder Saviano enters the Globe building. ,Saviano cooperated with Spotlight. ,9
00:31:10,3,,"Spotlight question Saviano. He's annoyed, he answered 5yrs ago. ",Saviano had sent his info years back.,227
00:34:57,3,,The team discuss Saviano as a witness.,Spotlight worked with Saviano. ,28
00:35:25,3,,Rezendes begs Garabedian to allow him to interview the victims. ,Garabedian allowed access to his clients.,64
00:36:29,3,,Pfeiffer meets abuse victim Crowley. ,Pfeiffer did interview Joe Crowley. ,45
00:37:14,3,,Rezendes interviews abuse victim McSorely.,McSorely spoke to Spotlight. ,83
00:38:37,3,,Pfeiffer presses Crowley for details. ,Pfeiffer pressed for specifics. ,118
00:40:35,3,,Rezendes notices track marks on McSorely's arm. ,McSorely was an addict. ,99
00:42:14,3,,"Crowley talks of his struggle, breaks down. ",Crowley became an alcoholic.,81
00:43:35,3,,Garabedian points out McSorely is at least still alive.,Many of the victims committed suicide. ,30
00:44:05,3,,Pfeiffer calls Crowley to confirm details. ,Pfeiffer was thorough.,70
00:45:15,3,,Judge Sweeney set a hearing on the sealed documents. ,Judge Sweeney set a date.,20
00:45:35,3,,Pfeiffer tracks Macleish's settled cases.,Macleish settled a lot of cases with the church. ,25
00:46:00,3,,Robinson requests to expand the investigation. ,Bradlee expanded the investigation.,57
