start,truth int,fiction type ,film condensed,reality condensed,duration
00:00:49,3,,Mark Twain quote. ,Refers to ignorance in housing market. ,27
00:01:16,3,,"1970s, Ranieri comes up with mortgage bonds. ",Ranieri is the father of mortgage-backed securities.,65
00:02:21,3,,Ranieri sells millions' worth of mortgage bonds. ,Ranieri was persuasive. ,43
00:03:04,3,,Bankers at the strip club. ,Bankers keep strip clubs going. ,14
00:03:18,3,,NYC skyline montage.,America was on the up until the bubble burst. ,28
00:03:46,3,,The market crashes.,Bad loans collapsed the economy.,60
00:04:46,3,,Burry interviews an analyst at Scion. ,Burry set up Scion capital. ,52
00:05:38,2,Narrative device,Burry talks about his glass eye.,Burry had a glass eye.,130
00:07:48,2,Narrative device,Burry orders the new guy to bring bond statements.,Burry got hold of hundreds of bond statements.,97
00:09:25,3,,Baum interrupts a support-group meeting. ,Eisman often barged into his therapy sessions.,110
00:11:15,3,,Burry reads mortgage bonds like a novel. ,"Burry read the lot, realised things were bad. ",55
00:12:10,3, ,"Burry wants to short the market, Fields disapproves. ",Greenblatt didn't approve. ,97
00:13:47,3,,Robbie cameo - explains mortgage bonds. ,Mortgage bonds were full of bad loans. ,67
00:14:54,3,,Burry claims he's going to invent a way to short the market.,No instruments for betting against the housing market at that point.,54
00:15:48,3,,Baum was always questioning things.,Eisman chased down BS. ,69
00:16:57,1,we don't have a category for 'saving the family from further heartache'... ,Baum's wife asks him to talk about losing his brother. ,"Eisman lost his son, not his brother. ",122
00:18:59,3,,Sachs sells Burry $100m in swaps. ,Goldman sold Burry $100m in swaps.,203
00:22:22,3,,Deutsche sells Burry $200m in swaps. ,Deutsche let them buy $200m in swaps. ,16
00:22:38,3,,Montage - Burry buying swaps. ,"Burry harrassed the banks, they loved it. ",50
00:23:28,3,,A trader tells Vennett about Burry. ,Lippmann got wind of Burry's trades.,58
00:24:26,3,,Fields is furious. ,Greenblatt was furious. ,88
00:25:54,0,Character development,"Baum sees Tao, asks if she's pregnant. ",Tao is probably a fictional character. ,22
00:26:16,2,,Vennett calls Baum's office by mistake. ,We can't find a source on this. ,149
