start,truth int,fiction type ,film condensed,reality condensed,duration
00:00:25,3,,Duke of York (Bertie) asked to give speech at the Empire exhibition.,Bertie gave the speech.,12
00:00:37,-,-,-,-,30
00:01:07,3,,Bertie looks very anxious.,Bertie was anxious before speeches.,16
00:01:23,3,,The BBC crew prepare.,BBC folk take their voices seriously.,32
00:01:55,3,,Bertie looks terrified.,Bertie was terrified of public speaking.,9
00:02:04,3,,The BBC introduce Bertie.,The BBC broadcast the ceremony.,79
00:03:23,3,,"Bertie stammers, is humiliated.",The speech went badly.,116
00:05:19,3,,Sir Bentham arrives. ,Bertie saw a lot of doctors.,5
00:05:24,-1,character development,Bertie is encouraged to put marbles in his mouth by Sir Bentham.,No record of a Blandine-Bentham.,93
00:06:57,-1,character development,Elizabeth curtly thanks the Dr.  ,No record of a Blandine-Bentham.,7
00:07:04,3,,Elizabeth calms Bertie down.,Elizabeth always calmed Bertie.,36
00:07:40,0,character development,Elizabeth is driven to Harley Street,Elizabeth didn't set up the meeting in person.,38
00:08:18,0,character development,"Elizabeth enters, looks dubious.",Elizabeth didn't set up the meeting in person.,64
00:09:22,1,character development,Elizabeth & Lionel speak.,Elizabeth didn't set up the meeting in person.,93
00:10:55,1,character development,Elizabeth demands Lionel attend their home. Lionel refuses.,Lionel knew who Bertie was from day one.,82
00:12:17,3,,LionelS arrives at his small family home.,Lionel lived in a small house with his wife & 3 kids.,67
00:13:24,2,character development,Bertie struggles to read a bedtime story.,Bertie loved his kids & may have struggled to speak around them.,148
00:15:52,3,,Elizabeth mentions new doctor at dinner. Bertie refuses.,Bertie was reluctant.,32
00:16:24,1,character development,Lionel endures a humiliating audition.,Lionel was an actor but not while he was a speech therapist.,89
00:17:53,3,dramatic license,Elizabeth & Bertie cram into Lionel'S elevator.,"Bertie & Elizabeth did visit. The practice had stairs, not an elevator.",31
00:18:24,-1,character development,A young boy greets them.,Not in the memoir. ,62
00:19:26,1,character development,"Bertie starts treatment but is angry, resistant.",Bertie wasn't angry.,418
00:26:24,2,character development,"Bertie is persuaded to read aloud while listening to music, is recorded.",Lionel did use gramophone recordings.,147
00:28:51,3,,Bertie & Elizabeth leave. ,They arrived together & presumably left together. ,26
00:29:17,3,,King George broadcasts a Christmas speech.,George started the xmas tradition.,43
00:30:00,3,,George compains about his son's limitations.,George was frustrated by David's antics.,134
00:32:14,3,,"Bertie stammers while reading George's speech, is shouted at.",George was impatient with Bertie's stammering.,39
00:32:53,-1,character development,A stressed Bertie listens to the recording of himself.,Not in the memoir.,92
00:34:25,0,character development,Bertie refuses to discuss anything personal with Lionel.,Bertie did discuss personal stuff with Lionel.,116
00:36:21,3,,Montage of speech therapy methods.,They had 82 appointments .,143
00:38:44,-1,"dramatic license, character development",Bertie's brother David lands in a light aircraft.,Not in the memoir.,34
00:39:18,3,,David has returned home to visit their dying father.,David returned from Africa.,32
00:39:50,-1,character development,David insists their father is dying to scupper his relationship with Wallis.,Not in the memoir.,23
00:40:13,3,,The King is confused & bewildered.,The king wasn't with it in his final days .,83
00:41:36,2,character development,David points out the clocks are set half an hour forward.,The king invented 'Sandringham Time' .,62
00:42:38,2,character development,Archbishop Lang sucks up to David,Lang was a problem.,60
00:43:38,3,,The King dies.,The king died 15th Jan 1936.,18
