start,truth int,fiction type ,film condensed,reality condensed,duration
00:00:41,1,Dramatic license,Stratton Oakmont on Wall St.,"Stratton Oakmont based in Long Island, not Wall Street.",34
00:01:15,0,Dramatic license,"Inside, rowdy men throw little people at a target board.",Hired little people for entertainment. ,23
00:01:38,3,,"Belfort, cocky, boasts of his lavish lifestyle.",Belfort enjoyed a depraved high life. ,93
00:03:11,3,,A wasted Belfort badly lands a copter.,A wasted Belfort tried to fly his own helicopter.,40
00:03:51,3,,Belfort boasts of his massive drug habit.,Belfort had a major drug habit.,83
00:05:14,3,,Young Belfort looks intimidated by Wall St.,A rare glimpse at Belfort's insecurities. ,29
00:05:43,3,,"Belfort told he is ""lower than pond scum"".",& he agreed. ,36
00:06:19,3,,His new boss Hanna is impressed by him.,Hanna appreciated Belfort's initiative. ,38
00:06:57,3,,Belfort starts making calls.,Belfort started on Wall Street in 1987. ,59
00:07:56,3,,Hanna explains the dirty business to him.,Hanna told Belfort that brokers never stop 'churning & burning'. ,194
00:11:10,3,,Hanna tells him to jerk off as much as possible.,Hanna asserted Belfort must masturbate & get high to survive.,125
00:13:15,0,Dramatic license. ,Hanna starts pounding his chest.,McConaughey's acting exercise was incorporated into the scene. ,40
00:13:55,2,Dramatic license. ,Belfort at a strip club.,Belfort loved strippers. ,22
00:14:17,,,Belfort now a broker. Seems confident.,Belfort got his broker's license in 1987. ,20
00:14:37,,,Belfort panicking as Black Wednesday kicks in.,"Black Wednesday, 1987. ",71
00:15:48,2,Story coherence.,"Belfort, unemployed, looking for jobs.",His first wife supported him through unemployment.,69
00:16:57,,,Belfort joins a low-key shabby 'Investor's Centre',Belfort's second job in the industry. ,173
00:19:50,2,,Office is amazed by his selling ability.,He was really good at it. ,123
00:21:53,0,Story coherence/dramatic license.,Azoff introduces himself to Belfort. Quits his job instantly.,Azoff's wife introduced him to Belfort.  ,117
00:23:50,,,They smoke crack. Azoff married his cousin.,Azoff married his cousin. ,218
00:27:28,,,Belfort starts his own firm.,Belfort set up his company in an old car dealership. ,199
00:30:47,-1,Story coherence. ,Belfort's wife is concerned about the ethics of his work.,Not in the book. ,61
00:31:48,3,,Belfort wants to sell to the rich.,Belfort manipulated the wealthy into investing in rubbish. ,20
00:32:08,3,,Belfort trains his staff to sell.,Belfort's script seriously worked. ,245
00:36:13,3,,It becomes a successful company.,Stratton Oakmont was wildly succesful. ,55
00:37:08,3,,Office party. A woman shaves her head for $10K.,A head was shaved for $10k.,156
00:39:44,3,,FBI agent Denham builds a case against Belfort.,Coleman hunted Belfort for years.,13
00:39:57,,,Forbes do an article on Belfort.,Forbes did an article on Belfort in 1991. ,23
00:40:20,,,"Forbes call him ""The Wolf of Wall St.""",Nobody called Belfort the Wolf of Wall Street.,27
00:40:47,3,,Makes him a superstar.,Made him an attractively infamous employer.,39
00:41:26,3,,Montage of debauchery at the ever-expanding office. ,"Plenty of sex, drugs, crazed behaviour in the office.",38
00:42:04,0,,Office declared 'fuck-free zone' 8am-7pm.,"Belfort says it happened, Porush says it didn't. ",6
00:42:10,0,Dramatic license.,Belfort & Azoff have a 3-way with young employee in the office. ,No three-way.,23
00:42:33,1,Dramatic license.,"Jenner marries ""blowjob"" Pam.",A similar relationship did happen.,9
00:42:42,3,,"Belfort hires his angry dad, Mad Max.",Quick-tempered Max was the firm's chief financial officer.,61
00:43:43,3,,The guys discuss what they can do to little people.,The memoir dedicated three pages to this discussion. ,145
00:46:08,3,,"Mad Max is furious about ""expenses""",Max was 'careful' with cash. ,117
00:48:05,3,,Montage of prostitutes at the office. ,Several 'classes' of prostitutes graced the office. ,29
00:48:34,-1,Story coherence. ,Belfort admits he's no longer attracted to his wife.,Not in the book. ,101
00:50:15,2,,Big party. Belfort meets his future second wife.,Belfort met Nadine at a party. ,307
00:55:22,3,,They have a date.,Belfort had an affair with Nadine. ,83
00:56:45,2,Story coherence.,"His wife catches him on a date, leaves him.",Belfort left Denise for Nadine.,311
01:01:56,2,,Belfort dining at home. Has a butler.,Belfort had a 'managerie' of domestic staff.,26
01:02:22,-1,Dramatic license.,Butler is caught having a gay orgy at the home.,Not in the book. ,41
01:03:03,-1,Dramatic license.,"Belfort interrogates the butler, hang him off the roof.",Not in the book. ,127
01:05:10,2,,Belfort & his rathole Brad.,Garrett acted as a rathole for Belfort.,28
01:05:38,3,,SEC investigate Stratton Oakmont.,SEC did investigate Stratton.,23
01:06:01,3,,SEC officers pour through files in the conference room.,Belfort bugged & froze up the conference room. ,14
01:06:15,3,,Strattion set up an illegal IPO. Is now very rich.,Stratton manipulated multiple IPOs.,45
01:07:00,2,Story coherence.,BELFORT proposes to NAOMI. She says yes. ,Belfort married Nadine.,29
01:07:29,3,Story coherence.,BELFORT's stag party. ,Belfort partied constantly. ,60
01:08:29,2,,BELFORT & NAOMI's wedding. NAOMI's AUNT EMMA appears. ,Nadine had an English Aunt Patricia.,118
01:10:27,3,,Belfort gives his wife a yacht. Buys a house in Long Island.,"Nadine' was a 167ft yacht, originally built for Coco Chanel.",62
01:11:29,3,,Noami is furious over Belfort's affair with a prostitute.,Nadine threw cold water over a sleeping Belfort. ,35
01:12:04,3,,BELFORT with a dominatrix named VENICE. ,Venice was Belfort's dominatrix prostitute. ,43
01:12:47,3,,BELFORT tries to lie to NAOMI about VENICE. He is also now a father. ,"Belfort's lying failed. He had a baby daughter, Chandler.",45
01:13:32,,,Wated Belfort badly lands a helicopter.,Belfort crash landed his helicopter.,8
01:13:40,,Dramatic license.,BELFORT falls into his own pool. ,Belfort stumbled on the grass.,4
01:13:44,3,,BELFORT & NAOMI argue in their bedroom. ,Nadine was furious about Venice. ,97
01:15:21,3,,NOAMI spreads her legs to tease Belfort. It's caught on CCTV.,Nadine's candid camera moment really happened. ,131
01:17:32,3,,Azoff swallows a goldfish.,Porush swallowed a guy's goldfish. Steve Madden & Belfort made millions together.,517
01:26:09,3,,FBI subpoenaed the guy who shot BELFORT's wedding video.,FBI subpoenaed the wedding video. ,76
01:27:25,3,,BELFORT discussing the FBI case with his PI.,Belfort's P.I. 'Bo' Dietl had his own little section in a Harlem restaurant. ,102
01:29:07,-1,Dramatic license.,Belfort tries to bribe the FBI officer on his yacht.,Not in the book. ,520
01:37:47,2,,Belfort is heading to Switzerland.,Belfort spent time in Switzerland setting up his dodgy Swiss accounts.,10
01:37:57,3,,Belfort takes Quaaludes on the flight.,Belfort didn't feel like taking a long flight sober. ,48
